dataset,target_size,algorithm,props,time,oa,aa,k,selected_bands,selected_weights
indian_pines,2,bsdr3ae,0,37.581,0.555,0.416,0.416,66|133,1|1
indian_pines,3,bsdr3ae,0,34.767,0.642,0.561,0.561,51|99|148,1|1|1
indian_pines,4,bsdr3ae,0,36.827,0.637,0.564,0.564,40|79|118|158,1|1|1|1
indian_pines,5,bsdr3ae,0,39.941,0.716,0.675,0.675,33|66|99|132|165,1|1|1|1|1
indian_pines,6,bsdr3ae,0,40.37,0.673,0.623,0.623,28|58|85|113|141|169,1|1|1|1|1|1
indian_pines,7,bsdr3ae,0,42.67,0.724,0.681,0.681,25|50|75|99|124|148|173,1|1|1|1|1|1|1
indian_pines,8,bsdr3ae,0,40.819,0.708,0.68,0.68,23|43|66|88|109|133|154|177,1|1|1|1|1|1|1|1
indian_pines,9,bsdr3ae,0,44.222,0.718,0.674,0.674,19|41|60|79|99|118|138|158|178,1|1|1|1|1|1|1|1|1
indian_pines,10,bsdr3ae,0,40.759,0.71,0.649,0.649,18|36|53|68|90|108|126|144|162|180,1|1|1|1|1|1|1|1|1|1
indian_pines,11,bsdr3ae,0,41.791,0.76,0.729,0.729,16|34|50|66|83|98|116|134|148|165|181,1|1|1|1|1|1|1|1|1|1|1
indian_pines,12,bsdr3ae,0,41.703,0.716,0.677,0.677,15|30|45|61|76|91|107|122|137|153|167|182,1|1|1|1|1|1|1|1|1|1|1|1
indian_pines,13,bsdr3ae,0,38.016,0.733,0.709,0.709,14|28|43|58|70|86|99|113|128|141|155|169|183,1|1|1|1|1|1|1|1|1|1|1|1|1
indian_pines,14,bsdr3ae,0,40.571,0.714,0.674,0.674,14|27|40|53|66|79|92|106|119|132|145|158|171|184,1|1|1|1|1|1|1|1|1|1|1|1|1|1
indian_pines,15,bsdr3ae,0,47.849,0.75,0.722,0.722,13|24|38|50|62|75|87|99|111|124|135|148|161|173|185,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
indian_pines,16,bsdr3ae,0,45.591,0.732,0.684,0.684,11|23|35|45|59|68|82|92|105|116|131|139|151|163|174|186,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
indian_pines,17,bsdr3ae,0,47.822,0.726,0.679,0.679,11|23|34|47|54|65|77|88|99|111|119|131|143|155|166|176|188,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
indian_pines,18,bsdr3ae,0,46.583,0.718,0.669,0.669,10|21|32|42|52|67|71|83|94|104|115|124|135|146|156|167|177|187,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
indian_pines,19,bsdr3ae,0,48.743,0.754,0.72,0.72,10|20|30|41|50|59|69|79|89|99|109|119|128|138|148|158|168|178|188,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
indian_pines,20,bsdr3ae,0,48.278,0.724,0.672,0.672,9|19|28|38|48|57|65|75|85|95|104|115|123|131|141|151|160|170|178|188,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
indian_pines,21,bsdr3ae,0,48.648,0.742,0.68,0.68,9|19|27|36|46|52|64|71|83|90|99|108|116|125|135|144|153|162|171|180|190,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
indian_pines,22,bsdr3ae,0,49.023,0.74,0.681,0.681,9|18|26|35|44|52|61|69|78|86|96|103|111|122|129|138|148|154|164|172|180|189,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
indian_pines,23,bsdr3ae,0,39.924,0.757,0.696,0.696,8|16|25|33|42|51|58|65|75|83|90|99|107|116|123|134|140|148|156|165|173|181|190,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
indian_pines,24,bsdr3ae,0,41.875,0.72,0.656,0.656,9|16|24|32|40|49|56|70|73|79|87|94|103|112|118|126|134|141|150|158|166|174|182|190,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
indian_pines,25,bsdr3ae,0,43.382,0.756,0.714,0.714,7|16|23|30|38|46|52|61|69|76|83|92|99|107|114|122|128|137|146|153|160|167|174|182|191,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
indian_pines,26,bsdr3ae,0,48.221,0.744,0.674,0.674,8|14|23|30|37|44|52|59|66|73|81|88|95|103|110|118|124|132|139|146|154|161|167|176|184|190,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
indian_pines,27,bsdr3ae,0,39.988,0.765,0.727,0.727,8|14|22|28|35|42|50|57|65|78|85|92|99|106|113|120|127|134|141|148|155|162|169|176|183|190,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
indian_pines,28,bsdr3ae,0,40.945,0.738,0.673,0.673,7|14|21|28|35|42|49|55|64|65|76|81|89|96|102|109|115|123|130|135|143|149|157|164|171|177|184|191,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
