epoch,l0_cw,l0_s,mse_loss,l1_loss,lambda_value,loss,oa,aa,k,min_cw,max_cw,avg_cw,min_s,max_s,avg_s,selected_bands,selected_weights,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10,weight_11,weight_12,weight_13,weight_14,weight_15,weight_16,weight_17,weight_18,weight_19,weight_20,weight_21,weight_22,weight_23,weight_24,weight_25,weight_26,weight_27,weight_28,weight_29,weight_30,weight_31,weight_32,weight_33,weight_34,weight_35,weight_36,weight_37,weight_38,weight_39,weight_40,weight_41,weight_42,weight_43,weight_44,weight_45,weight_46,weight_47,weight_48,weight_49,weight_50,weight_51,weight_52,weight_53,weight_54,weight_55,weight_56,weight_57,weight_58,weight_59,weight_60,weight_61,weight_62,weight_63,weight_64,weight_65,weight_66,weight_67,weight_68,weight_69,weight_70,weight_71,weight_72,weight_73,weight_74,weight_75,weight_76,weight_77,weight_78,weight_79,weight_80,weight_81,weight_82,weight_83,weight_84,weight_85,weight_86,weight_87,weight_88,weight_89,weight_90,weight_91,weight_92,weight_93,weight_94,weight_95,weight_96,weight_97,weight_98,weight_99,weight_100,weight_101,weight_102,weight_103,weight_104,weight_105,weight_106,weight_107,weight_108,weight_109,weight_110,weight_111,weight_112,weight_113,weight_114,weight_115,weight_116,weight_117,weight_118,weight_119,weight_120,weight_121,weight_122,weight_123,weight_124,weight_125,weight_126,weight_127,weight_128,weight_129,weight_130
0,131,131,2.061,4.8741202,0.01,2.109,0.509,0.43,0.379,0.007,0.009,0.008,0.007,0.009,0.008,119|120,0.009|0.009,0.008,0.008,0.008,0.007,0.008,0.008,0.007,0.008,0.008,0.007,0.007,0.008,0.008,0.007,0.007,0.008,0.008,0.007,0.008,0.008,0.007,0.007,0.007,0.007,0.008,0.007,0.007,0.007,0.007,0.007,0.008,0.008,0.008,0.007,0.007,0.007,0.008,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.008,0.007,0.008,0.008,0.007,0.007,0.008,0.007,0.007,0.008,0.007,0.008,0.007,0.008,0.007,0.007,0.007,0.007,0.008,0.008,0.008,0.007,0.008,0.007,0.009,0.008,0.008,0.007,0.007,0.008,0.008,0.007,0.008,0.007,0.007,0.008,0.008,0.007,0.008,0.007,0.008,0.007,0.008,0.007,0.008,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.008,0.007,0.007,0.007,0.007,0.008,0.007,0.007,0.007,0.008,0.007,0.008,0.008,0.008,0.007,0.009,0.009,0.007,0.008,0.008,0.007,0.008,0.008,0.008,0.008,0.008,0.008
10,131,131,0.911,4.8540611,0.01,0.959,0.518,0.427,0.39,0.006,0.013,0.008,0.006,0.013,0.008,40|129,0.013|0.013,0.012,0.011,0.006,0.006,0.007,0.008,0.009,0.009,0.007,0.008,0.007,0.008,0.012,0.007,0.007,0.008,0.006,0.008,0.012,0.009,0.006,0.008,0.007,0.007,0.007,0.008,0.007,0.007,0.006,0.007,0.007,0.006,0.007,0.011,0.006,0.006,0.011,0.008,0.006,0.006,0.013,0.008,0.007,0.009,0.011,0.008,0.007,0.008,0.007,0.007,0.01,0.007,0.006,0.006,0.006,0.008,0.008,0.009,0.007,0.007,0.006,0.007,0.007,0.007,0.008,0.008,0.006,0.007,0.006,0.006,0.009,0.006,0.006,0.009,0.008,0.007,0.012,0.007,0.008,0.008,0.008,0.01,0.007,0.006,0.008,0.007,0.006,0.007,0.008,0.007,0.008,0.006,0.006,0.008,0.006,0.007,0.006,0.006,0.011,0.009,0.007,0.007,0.008,0.012,0.007,0.006,0.006,0.006,0.008,0.006,0.009,0.007,0.006,0.007,0.01,0.006,0.007,0.007,0.006,0.006,0.01,0.007,0.007,0.007,0.007,0.008,0.007,0.008,0.011,0.013,0.007
20,131,131,0.768,4.8262138,0.01,0.816,0.491,0.422,0.364,0.005,0.023,0.008,0.005,0.023,0.008,76|103,0.023|0.016,0.009,0.011,0.007,0.005,0.009,0.007,0.009,0.011,0.006,0.007,0.006,0.008,0.015,0.006,0.007,0.008,0.006,0.006,0.015,0.008,0.005,0.011,0.008,0.008,0.006,0.011,0.007,0.008,0.006,0.007,0.007,0.007,0.008,0.015,0.006,0.006,0.009,0.008,0.005,0.006,0.014,0.005,0.006,0.009,0.009,0.006,0.008,0.01,0.007,0.006,0.012,0.005,0.006,0.005,0.006,0.009,0.005,0.008,0.009,0.006,0.005,0.007,0.009,0.009,0.006,0.007,0.006,0.008,0.006,0.005,0.013,0.006,0.006,0.007,0.008,0.007,0.023,0.007,0.007,0.008,0.007,0.009,0.008,0.006,0.008,0.007,0.006,0.008,0.007,0.008,0.01,0.006,0.005,0.006,0.006,0.006,0.005,0.005,0.011,0.009,0.009,0.007,0.008,0.016,0.008,0.006,0.006,0.005,0.009,0.006,0.007,0.006,0.005,0.006,0.01,0.006,0.005,0.006,0.006,0.007,0.009,0.006,0.006,0.006,0.006,0.007,0.007,0.007,0.011,0.011,0.006
30,131,131,0.669,4.7880459,0.01,0.717,0.441,0.358,0.281,0.005,0.027,0.008,0.005,0.027,0.008,76|12,0.027|0.024,0.01,0.015,0.006,0.006,0.008,0.005,0.008,0.011,0.005,0.008,0.006,0.008,0.024,0.006,0.006,0.007,0.005,0.005,0.014,0.008,0.005,0.015,0.009,0.01,0.007,0.013,0.008,0.01,0.007,0.008,0.007,0.007,0.01,0.019,0.005,0.006,0.006,0.006,0.005,0.005,0.011,0.005,0.005,0.01,0.01,0.005,0.008,0.014,0.007,0.005,0.009,0.005,0.006,0.005,0.007,0.009,0.005,0.01,0.012,0.005,0.006,0.006,0.007,0.01,0.006,0.005,0.006,0.006,0.005,0.005,0.014,0.006,0.007,0.006,0.009,0.008,0.027,0.005,0.006,0.007,0.006,0.007,0.008,0.005,0.008,0.007,0.008,0.006,0.006,0.008,0.01,0.007,0.005,0.005,0.005,0.005,0.005,0.006,0.011,0.007,0.01,0.009,0.009,0.021,0.006,0.006,0.005,0.006,0.007,0.005,0.007,0.005,0.005,0.005,0.008,0.005,0.005,0.005,0.005,0.008,0.008,0.005,0.005,0.006,0.005,0.008,0.009,0.006,0.009,0.01,0.005
40,131,131,0.599,4.7424068,0.01,0.646,0.441,0.358,0.281,0.004,0.03,0.008,0.004,0.03,0.008,76|12,0.03|0.029,0.013,0.02,0.005,0.005,0.008,0.005,0.008,0.01,0.004,0.009,0.005,0.006,0.029,0.005,0.005,0.006,0.004,0.004,0.012,0.006,0.005,0.018,0.01,0.012,0.007,0.012,0.007,0.013,0.009,0.008,0.006,0.008,0.013,0.023,0.004,0.004,0.005,0.005,0.004,0.004,0.009,0.005,0.004,0.01,0.011,0.004,0.008,0.014,0.007,0.004,0.008,0.004,0.006,0.004,0.007,0.01,0.004,0.012,0.013,0.004,0.006,0.005,0.006,0.011,0.005,0.005,0.005,0.007,0.005,0.004,0.018,0.007,0.006,0.005,0.009,0.007,0.03,0.005,0.005,0.006,0.006,0.007,0.007,0.006,0.008,0.009,0.009,0.006,0.005,0.009,0.009,0.009,0.005,0.005,0.005,0.004,0.005,0.008,0.009,0.007,0.014,0.01,0.008,0.023,0.005,0.005,0.005,0.005,0.007,0.004,0.007,0.005,0.004,0.004,0.006,0.004,0.004,0.005,0.005,0.009,0.007,0.005,0.005,0.006,0.004,0.009,0.011,0.004,0.008,0.009,0.005
50,131,131,0.552,4.7226133,0.01,0.599,0.441,0.358,0.281,0.004,0.031,0.008,0.004,0.031,0.008,76|12,0.031|0.029,0.013,0.018,0.004,0.005,0.008,0.006,0.009,0.01,0.004,0.009,0.005,0.005,0.029,0.004,0.005,0.006,0.004,0.004,0.011,0.006,0.004,0.018,0.009,0.011,0.007,0.011,0.008,0.016,0.01,0.008,0.005,0.009,0.013,0.023,0.004,0.004,0.005,0.004,0.004,0.005,0.008,0.005,0.005,0.011,0.011,0.004,0.008,0.016,0.007,0.004,0.008,0.004,0.006,0.004,0.008,0.01,0.004,0.01,0.013,0.004,0.005,0.004,0.007,0.012,0.004,0.005,0.005,0.006,0.004,0.004,0.022,0.007,0.005,0.005,0.009,0.006,0.031,0.004,0.005,0.005,0.006,0.008,0.006,0.007,0.008,0.01,0.012,0.005,0.005,0.009,0.009,0.01,0.004,0.005,0.005,0.004,0.005,0.009,0.01,0.007,0.016,0.01,0.007,0.023,0.004,0.005,0.004,0.005,0.006,0.004,0.007,0.004,0.004,0.004,0.006,0.004,0.004,0.005,0.004,0.01,0.006,0.005,0.004,0.005,0.004,0.01,0.012,0.004,0.007,0.008,0.004
60,131,131,0.511,4.7083564,0.01,0.558,0.441,0.358,0.281,0.004,0.03,0.008,0.004,0.03,0.008,12|76,0.03|0.029,0.013,0.018,0.005,0.005,0.007,0.006,0.011,0.01,0.004,0.009,0.005,0.004,0.03,0.004,0.005,0.007,0.004,0.004,0.01,0.006,0.004,0.017,0.009,0.011,0.006,0.011,0.009,0.016,0.01,0.008,0.005,0.008,0.014,0.025,0.004,0.004,0.004,0.004,0.004,0.004,0.008,0.004,0.005,0.012,0.013,0.004,0.008,0.017,0.008,0.004,0.008,0.004,0.006,0.004,0.008,0.009,0.004,0.009,0.012,0.004,0.004,0.004,0.008,0.015,0.004,0.004,0.007,0.006,0.004,0.004,0.023,0.007,0.005,0.004,0.009,0.006,0.029,0.004,0.004,0.004,0.006,0.007,0.006,0.006,0.007,0.01,0.013,0.005,0.004,0.009,0.009,0.01,0.004,0.006,0.004,0.004,0.005,0.009,0.01,0.006,0.017,0.011,0.007,0.023,0.004,0.005,0.004,0.005,0.005,0.004,0.007,0.004,0.004,0.004,0.007,0.004,0.004,0.006,0.004,0.01,0.005,0.004,0.004,0.005,0.004,0.011,0.012,0.004,0.006,0.008,0.004
70,131,131,0.473,4.6943779,0.01,0.52,0.441,0.358,0.281,0.004,0.029,0.008,0.004,0.029,0.008,12|76,0.029|0.027,0.011,0.019,0.004,0.006,0.007,0.007,0.011,0.01,0.004,0.009,0.004,0.004,0.029,0.004,0.005,0.007,0.004,0.004,0.01,0.006,0.004,0.016,0.009,0.011,0.006,0.011,0.009,0.017,0.01,0.007,0.005,0.009,0.015,0.027,0.004,0.004,0.004,0.004,0.004,0.004,0.008,0.004,0.005,0.014,0.015,0.004,0.008,0.017,0.008,0.004,0.008,0.004,0.006,0.004,0.008,0.009,0.004,0.008,0.012,0.004,0.004,0.004,0.011,0.018,0.004,0.004,0.008,0.007,0.004,0.004,0.025,0.007,0.005,0.004,0.01,0.005,0.027,0.004,0.004,0.004,0.005,0.007,0.005,0.006,0.007,0.01,0.014,0.004,0.004,0.009,0.009,0.01,0.004,0.006,0.004,0.004,0.005,0.01,0.011,0.006,0.017,0.011,0.007,0.022,0.004,0.005,0.004,0.005,0.005,0.004,0.007,0.004,0.004,0.004,0.008,0.004,0.004,0.007,0.004,0.011,0.005,0.004,0.004,0.005,0.004,0.01,0.012,0.004,0.006,0.008,0.004
80,131,131,0.442,4.6841235,0.01,0.489,0.549,0.448,0.426,0.004,0.028,0.008,0.004,0.028,0.008,12|33,0.028|0.028,0.01,0.018,0.004,0.006,0.007,0.007,0.012,0.01,0.004,0.009,0.004,0.004,0.028,0.004,0.005,0.007,0.004,0.004,0.01,0.005,0.004,0.015,0.008,0.01,0.005,0.011,0.009,0.017,0.01,0.007,0.005,0.009,0.016,0.028,0.004,0.004,0.004,0.004,0.004,0.004,0.008,0.005,0.005,0.016,0.018,0.004,0.007,0.016,0.007,0.004,0.008,0.004,0.006,0.004,0.008,0.01,0.004,0.008,0.011,0.004,0.004,0.004,0.013,0.019,0.004,0.004,0.008,0.007,0.004,0.004,0.025,0.006,0.005,0.004,0.01,0.004,0.027,0.004,0.004,0.004,0.005,0.006,0.005,0.006,0.006,0.011,0.014,0.004,0.004,0.009,0.009,0.01,0.004,0.006,0.004,0.004,0.005,0.01,0.011,0.005,0.016,0.011,0.007,0.022,0.004,0.005,0.004,0.006,0.005,0.004,0.007,0.004,0.004,0.004,0.009,0.004,0.004,0.008,0.004,0.012,0.005,0.004,0.004,0.005,0.004,0.01,0.012,0.004,0.006,0.008,0.004
90,131,131,0.421,4.6717396,0.01,0.468,0.549,0.448,0.426,0.003,0.03,0.008,0.003,0.03,0.008,33|12,0.03|0.028,0.009,0.018,0.004,0.005,0.007,0.007,0.013,0.01,0.004,0.009,0.004,0.004,0.028,0.004,0.005,0.007,0.003,0.004,0.01,0.005,0.004,0.015,0.007,0.01,0.005,0.011,0.009,0.017,0.012,0.006,0.005,0.01,0.017,0.03,0.004,0.003,0.004,0.004,0.004,0.004,0.009,0.005,0.005,0.018,0.021,0.004,0.007,0.015,0.007,0.004,0.01,0.004,0.006,0.004,0.007,0.011,0.004,0.007,0.011,0.004,0.004,0.004,0.015,0.019,0.004,0.004,0.009,0.007,0.004,0.004,0.025,0.006,0.005,0.004,0.01,0.004,0.027,0.004,0.004,0.003,0.005,0.006,0.005,0.006,0.006,0.011,0.014,0.003,0.004,0.009,0.009,0.01,0.004,0.006,0.004,0.004,0.005,0.011,0.011,0.005,0.017,0.011,0.007,0.021,0.004,0.005,0.004,0.006,0.004,0.004,0.007,0.004,0.004,0.004,0.009,0.004,0.004,0.009,0.004,0.012,0.004,0.004,0.004,0.004,0.004,0.01,0.012,0.004,0.006,0.008,0.004
