dataset,target_size,algorithm,props,time,oa,aa,k,selected_bands,selected_weights
ghisaconus_health,2,c3,0,138.654,0.51,0.424,0.424,76|101,0.3389589786529541|1.5464380979537964
ghisaconus_health,3,c3,0,0.0,0.543,0.492,0.492,32|76|101,0.0534118115901947|0.3389589786529541|1.5464380979537964
ghisaconus_health,4,c3,0,0.0,0.643,0.59,0.59,1|32|76|101,0.25695693492889404|0.0534118115901947|0.3389589786529541|1.5464380979537964
ghisaconus_health,5,c3,0,0.0,0.645,0.599,0.599,1|5|32|76|101,0.25695693492889404|0.35289621353149414|0.0534118115901947|0.3389589786529541|1.5464380979537964
ghisaconus_health,6,c3,0,0.0,0.643,0.602,0.602,1|5|32|76|101|120,0.25695693492889404|0.35289621353149414|0.0534118115901947|0.3389589786529541|1.5464380979537964|1.3167345523834229
ghisaconus_health,7,c3,0,0.0,0.637,0.596,0.596,1|5|32|63|76|101|120,0.25695693492889404|0.35289621353149414|0.0534118115901947|0.15637896955013275|0.3389589786529541|1.5464380979537964|1.3167345523834229
ghisaconus_health,8,c3,0,0.0,0.653,0.616,0.616,1|5|32|63|76|89|101|120,0.25695693492889404|0.35289621353149414|0.0534118115901947|0.15637896955013275|0.3389589786529541|0.0711129754781723|1.5464380979537964|1.3167345523834229
ghisaconus_health,9,c3,0,0.0,0.67,0.631,0.631,1|5|32|43|63|76|89|101|120,0.25695693492889404|0.35289621353149414|0.0534118115901947|0.28625571727752686|0.15637896955013275|0.3389589786529541|0.0711129754781723|1.5464380979537964|1.3167345523834229
ghisaconus_health,10,c3,0,0.0,0.673,0.634,0.634,1|5|32|33|43|63|76|89|101|120,0.25695693492889404|0.35289621353149414|0.0534118115901947|1.0394824743270874|0.28625571727752686|0.15637896955013275|0.3389589786529541|0.0711129754781723|1.5464380979537964|1.3167345523834229
ghisaconus_health,11,c3,0,0.0,0.687,0.647,0.647,1|5|19|32|33|43|63|76|89|101|120,0.25695693492889404|0.35289621353149414|0.17484593391418457|0.0534118115901947|1.0394824743270874|0.28625571727752686|0.15637896955013275|0.3389589786529541|0.0711129754781723|1.5464380979537964|1.3167345523834229
ghisaconus_health,12,c3,0,0.0,0.689,0.65,0.65,1|5|19|32|33|43|63|70|76|89|101|120,0.25695693492889404|0.35289621353149414|0.17484593391418457|0.0534118115901947|1.0394824743270874|0.28625571727752686|0.15637896955013275|0.9166326522827148|0.3389589786529541|0.0711129754781723|1.5464380979537964|1.3167345523834229
ghisaconus_health,13,c3,0,0.0,0.689,0.649,0.649,1|5|19|32|33|43|63|70|76|89|101|107|120,0.25695693492889404|0.35289621353149414|0.17484593391418457|0.0534118115901947|1.0394824743270874|0.28625571727752686|0.15637896955013275|0.9166326522827148|0.3389589786529541|0.0711129754781723|1.5464380979537964|0.4272158443927765|1.3167345523834229
ghisaconus_health,14,c3,0,0.0,0.692,0.651,0.651,1|5|19|32|33|43|50|63|70|76|89|101|107|120,0.25695693492889404|0.35289621353149414|0.17484593391418457|0.0534118115901947|1.0394824743270874|0.28625571727752686|0.42231205105781555|0.15637896955013275|0.9166326522827148|0.3389589786529541|0.0711129754781723|1.5464380979537964|0.4272158443927765|1.3167345523834229
