dataset,target_size,algorithm,props,oa,aa,k,fold
salinas,2,random,0,0.78,0.76,0.75,0
salinas,2,random,0,0.78,0.77,0.75,1
salinas,2,random,0,0.78,0.77,0.75,2
salinas,2,random,0,0.77,0.77,0.74,3
salinas,2,random,0,0.77,0.76,0.74,4
salinas,2,random,0,0.77,0.75,0.74,5
salinas,2,random,0,0.76,0.75,0.73,6
salinas,2,random,0,0.78,0.77,0.75,7
salinas,2,random,0,0.78,0.76,0.75,8
salinas,2,random,0,0.78,0.77,0.75,9
salinas,2,random,0,0.77,0.77,0.74,10
salinas,2,random,0,0.78,0.76,0.75,11
salinas,2,random,0,0.78,0.76,0.75,12
salinas,2,random,0,0.77,0.76,0.75,13
salinas,2,random,0,0.78,0.77,0.75,14
salinas,2,random,0,0.77,0.77,0.74,15
salinas,2,random,0,0.78,0.77,0.75,16
salinas,2,random,0,0.78,0.77,0.75,17
salinas,2,random,0,0.77,0.75,0.74,18
salinas,2,random,0,0.77,0.77,0.74,19
salinas,3,random,0,0.85,0.91,0.83,0
salinas,3,random,0,0.85,0.91,0.84,1
salinas,3,random,0,0.85,0.91,0.83,2
salinas,3,random,0,0.85,0.91,0.83,3
salinas,3,random,0,0.85,0.91,0.83,4
salinas,3,random,0,0.85,0.91,0.84,5
salinas,3,random,0,0.84,0.9,0.82,6
salinas,3,random,0,0.85,0.91,0.83,7
salinas,3,random,0,0.85,0.91,0.84,8
salinas,3,random,0,0.86,0.92,0.84,9
salinas,3,random,0,0.85,0.91,0.83,10
salinas,3,random,0,0.85,0.91,0.83,11
salinas,3,random,0,0.85,0.91,0.83,12
salinas,3,random,0,0.85,0.91,0.83,13
salinas,3,random,0,0.85,0.91,0.83,14
salinas,3,random,0,0.86,0.92,0.84,15
salinas,3,random,0,0.85,0.91,0.83,16
salinas,3,random,0,0.85,0.91,0.83,17
salinas,3,random,0,0.85,0.92,0.84,18
salinas,3,random,0,0.85,0.91,0.83,19
salinas,4,random,0,0.88,0.93,0.86,0
salinas,4,random,0,0.87,0.92,0.86,1
salinas,4,random,0,0.87,0.92,0.85,2
salinas,4,random,0,0.88,0.93,0.86,3
salinas,4,random,0,0.87,0.92,0.86,4
salinas,4,random,0,0.88,0.92,0.86,5
salinas,4,random,0,0.87,0.91,0.85,6
salinas,4,random,0,0.87,0.92,0.85,7
salinas,4,random,0,0.88,0.92,0.86,8
salinas,4,random,0,0.88,0.92,0.86,9
salinas,4,random,0,0.88,0.92,0.86,10
salinas,4,random,0,0.88,0.92,0.86,11
salinas,4,random,0,0.88,0.92,0.86,12
