epoch,l0_cw,l0_s,mse_loss,l1_loss,lambda_value,loss,oa,aa,k,min_cw,max_cw,avg_cw,min_s,max_s,avg_s,selected_bands,selected_weights,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10,weight_11,weight_12,weight_13,weight_14,weight_15,weight_16,weight_17,weight_18,weight_19,weight_20,weight_21,weight_22,weight_23,weight_24,weight_25,weight_26,weight_27,weight_28,weight_29,weight_30,weight_31,weight_32,weight_33,weight_34,weight_35,weight_36,weight_37,weight_38,weight_39,weight_40,weight_41,weight_42,weight_43,weight_44,weight_45,weight_46,weight_47,weight_48,weight_49,weight_50,weight_51,weight_52,weight_53,weight_54,weight_55,weight_56,weight_57,weight_58,weight_59,weight_60,weight_61,weight_62,weight_63,weight_64,weight_65,weight_66,weight_67,weight_68,weight_69,weight_70,weight_71,weight_72,weight_73,weight_74,weight_75,weight_76,weight_77,weight_78,weight_79,weight_80,weight_81,weight_82,weight_83,weight_84,weight_85,weight_86,weight_87,weight_88,weight_89,weight_90,weight_91,weight_92,weight_93,weight_94,weight_95,weight_96,weight_97,weight_98,weight_99,weight_100,weight_101,weight_102,weight_103,weight_104,weight_105,weight_106,weight_107,weight_108,weight_109,weight_110,weight_111,weight_112,weight_113,weight_114,weight_115,weight_116,weight_117,weight_118,weight_119,weight_120,weight_121,weight_122,weight_123,weight_124,weight_125,weight_126,weight_127,weight_128,weight_129,weight_130
0,131,131,1.824,0.498932,9.98e-05,1.824,0,0,0,0.438,0.547,0.499,0.438,0.547,0.499,89|75,0.547|0.545,0.476,0.468,0.524,0.493,0.486,0.536,0.476,0.493,0.479,0.481,0.499,0.495,0.499,0.502,0.516,0.503,0.446,0.495,0.488,0.485,0.511,0.499,0.471,0.483,0.521,0.521,0.503,0.541,0.517,0.438,0.473,0.498,0.462,0.485,0.523,0.526,0.498,0.52,0.515,0.533,0.529,0.492,0.528,0.524,0.463,0.511,0.523,0.494,0.471,0.519,0.516,0.48,0.504,0.503,0.485,0.474,0.494,0.485,0.528,0.49,0.452,0.489,0.527,0.459,0.535,0.456,0.493,0.499,0.478,0.514,0.528,0.514,0.506,0.5,0.527,0.545,0.526,0.489,0.516,0.539,0.504,0.473,0.463,0.48,0.465,0.488,0.515,0.476,0.486,0.547,0.472,0.511,0.478,0.456,0.485,0.483,0.496,0.527,0.528,0.484,0.479,0.473,0.519,0.489,0.527,0.506,0.516,0.512,0.489,0.513,0.496,0.507,0.497,0.479,0.468,0.485,0.481,0.504,0.486,0.523,0.531,0.507,0.494,0.504,0.499,0.511,0.537,0.516,0.504,0.504,0.507
10,131,131,0.438,0.498751,9.78e-05,0.438,0,0,0,0.328,0.658,0.499,0.328,0.658,0.499,2|13,0.658|0.634,0.411,0.423,0.658,0.485,0.489,0.558,0.549,0.56,0.628,0.462,0.525,0.394,0.55,0.634,0.52,0.572,0.328,0.55,0.465,0.44,0.51,0.448,0.397,0.549,0.37,0.596,0.398,0.58,0.505,0.399,0.5,0.479,0.491,0.482,0.444,0.554,0.543,0.511,0.538,0.551,0.479,0.44,0.544,0.41,0.472,0.455,0.523,0.487,0.613,0.573,0.431,0.45,0.339,0.469,0.416,0.477,0.449,0.55,0.518,0.487,0.381,0.533,0.556,0.47,0.5,0.45,0.443,0.541,0.413,0.527,0.538,0.45,0.543,0.39,0.553,0.51,0.53,0.537,0.513,0.626,0.436,0.508,0.433,0.542,0.483,0.419,0.63,0.533,0.394,0.556,0.461,0.485,0.463,0.526,0.532,0.381,0.549,0.477,0.556,0.423,0.537,0.412,0.519,0.563,0.363,0.592,0.362,0.586,0.521,0.456,0.573,0.534,0.367,0.532,0.42,0.523,0.449,0.63,0.537,0.633,0.541,0.47,0.497,0.596,0.48,0.597,0.532,0.58,0.54,0.563,0.406
20,131,131,0.528,0.4998209,9.59e-05,0.528,0,0,0,0.358,0.646,0.5,0.358,0.646,0.5,13|119,0.646|0.63,0.417,0.437,0.623,0.535,0.496,0.563,0.556,0.56,0.608,0.497,0.538,0.404,0.553,0.646,0.538,0.577,0.358,0.532,0.509,0.44,0.484,0.45,0.404,0.567,0.4,0.582,0.392,0.594,0.489,0.415,0.481,0.488,0.477,0.49,0.455,0.523,0.563,0.515,0.528,0.516,0.466,0.444,0.529,0.418,0.503,0.456,0.531,0.507,0.601,0.561,0.455,0.457,0.358,0.477,0.45,0.498,0.44,0.564,0.528,0.477,0.385,0.545,0.546,0.466,0.494,0.457,0.454,0.528,0.437,0.51,0.522,0.445,0.525,0.396,0.547,0.505,0.558,0.52,0.529,0.598,0.485,0.512,0.465,0.519,0.469,0.436,0.583,0.538,0.399,0.55,0.458,0.479,0.436,0.507,0.561,0.366,0.549,0.451,0.545,0.422,0.529,0.424,0.487,0.551,0.365,0.578,0.421,0.579,0.526,0.455,0.528,0.546,0.368,0.544,0.414,0.55,0.457,0.608,0.539,0.63,0.546,0.47,0.511,0.556,0.43,0.58,0.511,0.587,0.538,0.612,0.422
30,131,131,0.203,0.4997485,9.4e-05,0.204,0,0,0,0.323,0.66,0.5,0.323,0.66,0.5,13|119,0.66|0.66,0.408,0.379,0.619,0.542,0.504,0.601,0.591,0.609,0.616,0.512,0.527,0.373,0.559,0.66,0.519,0.598,0.325,0.587,0.498,0.418,0.468,0.451,0.406,0.584,0.339,0.615,0.383,0.59,0.5,0.385,0.469,0.454,0.476,0.478,0.434,0.53,0.534,0.519,0.51,0.514,0.471,0.422,0.551,0.399,0.501,0.46,0.533,0.506,0.628,0.56,0.454,0.454,0.36,0.493,0.421,0.503,0.444,0.54,0.547,0.505,0.381,0.53,0.538,0.492,0.497,0.432,0.462,0.548,0.446,0.514,0.517,0.436,0.501,0.384,0.544,0.484,0.54,0.555,0.571,0.622,0.427,0.562,0.467,0.522,0.487,0.433,0.587,0.549,0.372,0.593,0.489,0.451,0.431,0.524,0.55,0.361,0.539,0.446,0.534,0.402,0.51,0.388,0.499,0.617,0.323,0.586,0.403,0.615,0.563,0.43,0.551,0.528,0.351,0.531,0.439,0.552,0.449,0.637,0.553,0.66,0.547,0.45,0.487,0.524,0.444,0.585,0.509,0.581,0.562,0.605,0.43
40,131,131,0.305,0.5009003,9.21e-05,0.305,0,0,0,0.34,0.664,0.501,0.34,0.664,0.501,13|117,0.664|0.646,0.431,0.407,0.616,0.541,0.495,0.584,0.55,0.597,0.628,0.534,0.546,0.417,0.565,0.664,0.552,0.559,0.34,0.575,0.506,0.422,0.478,0.451,0.416,0.577,0.363,0.579,0.392,0.598,0.521,0.396,0.459,0.477,0.497,0.482,0.442,0.523,0.516,0.505,0.519,0.5,0.495,0.444,0.55,0.411,0.494,0.454,0.538,0.496,0.598,0.565,0.443,0.456,0.388,0.488,0.446,0.51,0.44,0.562,0.525,0.505,0.38,0.527,0.541,0.46,0.495,0.458,0.47,0.537,0.451,0.53,0.525,0.456,0.516,0.383,0.548,0.506,0.541,0.547,0.549,0.63,0.448,0.521,0.48,0.532,0.487,0.438,0.591,0.523,0.393,0.578,0.486,0.468,0.43,0.5,0.539,0.37,0.547,0.445,0.531,0.435,0.504,0.416,0.461,0.621,0.365,0.562,0.427,0.601,0.551,0.438,0.532,0.538,0.353,0.527,0.456,0.545,0.441,0.646,0.539,0.618,0.567,0.468,0.462,0.533,0.434,0.568,0.488,0.552,0.541,0.604,0.438
50,131,131,0.207,0.4993168,9.03e-05,0.207,0,0,0,0.352,0.655,0.499,0.352,0.655,0.499,13|117,0.655|0.631,0.436,0.402,0.606,0.552,0.507,0.583,0.567,0.581,0.614,0.523,0.553,0.423,0.558,0.655,0.534,0.566,0.352,0.577,0.497,0.415,0.479,0.467,0.412,0.568,0.37,0.581,0.373,0.575,0.494,0.41,0.45,0.481,0.482,0.481,0.453,0.531,0.515,0.5,0.519,0.48,0.481,0.436,0.531,0.411,0.508,0.476,0.54,0.517,0.573,0.54,0.465,0.463,0.376,0.486,0.44,0.506,0.455,0.549,0.525,0.49,0.404,0.54,0.531,0.459,0.502,0.453,0.474,0.548,0.45,0.526,0.511,0.452,0.525,0.391,0.534,0.504,0.549,0.544,0.54,0.616,0.463,0.52,0.474,0.523,0.467,0.439,0.587,0.521,0.388,0.587,0.468,0.463,0.413,0.5,0.552,0.377,0.541,0.427,0.538,0.414,0.495,0.419,0.473,0.617,0.358,0.567,0.415,0.602,0.552,0.438,0.53,0.542,0.374,0.517,0.435,0.537,0.447,0.631,0.533,0.606,0.545,0.502,0.495,0.543,0.454,0.577,0.493,0.553,0.517,0.612,0.428
60,131,131,0.175,0.5019375,8.85e-05,0.175,0,0,0,0.342,0.683,0.502,0.342,0.683,0.502,13|117,0.683|0.659,0.455,0.392,0.627,0.564,0.502,0.614,0.567,0.593,0.626,0.522,0.555,0.413,0.56,0.683,0.562,0.569,0.346,0.592,0.508,0.417,0.47,0.444,0.41,0.574,0.342,0.601,0.397,0.619,0.509,0.381,0.443,0.451,0.465,0.476,0.43,0.52,0.543,0.485,0.511,0.496,0.48,0.44,0.562,0.402,0.502,0.451,0.537,0.502,0.586,0.553,0.462,0.455,0.373,0.476,0.446,0.52,0.429,0.541,0.531,0.494,0.385,0.549,0.535,0.48,0.507,0.463,0.443,0.547,0.454,0.519,0.526,0.451,0.519,0.402,0.561,0.509,0.567,0.592,0.559,0.637,0.447,0.556,0.466,0.51,0.485,0.436,0.603,0.504,0.39,0.604,0.477,0.449,0.42,0.514,0.547,0.387,0.532,0.427,0.536,0.42,0.501,0.421,0.457,0.639,0.38,0.565,0.421,0.619,0.586,0.429,0.538,0.545,0.361,0.499,0.447,0.534,0.426,0.659,0.55,0.616,0.559,0.463,0.478,0.565,0.45,0.563,0.494,0.535,0.522,0.62,0.424
70,131,131,0.139,0.5022864,8.68e-05,0.139,0,0,0,0.342,0.69,0.502,0.34,0.69,0.502,13|117,0.69|0.654,0.468,0.382,0.612,0.566,0.497,0.613,0.582,0.586,0.622,0.525,0.541,0.403,0.548,0.69,0.545,0.584,0.342,0.606,0.509,0.403,0.461,0.457,0.406,0.574,0.34,0.592,0.384,0.62,0.497,0.386,0.444,0.456,0.472,0.476,0.438,0.536,0.537,0.506,0.499,0.507,0.469,0.44,0.541,0.408,0.503,0.471,0.523,0.496,0.601,0.554,0.476,0.455,0.379,0.475,0.45,0.501,0.461,0.54,0.535,0.495,0.394,0.553,0.525,0.478,0.502,0.468,0.467,0.543,0.449,0.528,0.513,0.45,0.522,0.388,0.563,0.506,0.551,0.596,0.556,0.633,0.462,0.536,0.479,0.508,0.491,0.433,0.601,0.523,0.386,0.591,0.495,0.459,0.432,0.511,0.552,0.394,0.528,0.425,0.526,0.417,0.507,0.415,0.465,0.65,0.389,0.552,0.414,0.633,0.575,0.418,0.53,0.545,0.349,0.504,0.422,0.549,0.436,0.654,0.546,0.626,0.545,0.491,0.48,0.537,0.456,0.574,0.521,0.534,0.534,0.6,0.427
80,131,131,0.259,0.5020142,8.5e-05,0.259,0,0,0,0.347,0.664,0.502,0.346,0.664,0.502,13|117,0.664|0.658,0.481,0.398,0.623,0.547,0.497,0.606,0.558,0.587,0.622,0.538,0.539,0.416,0.565,0.664,0.549,0.567,0.35,0.607,0.498,0.423,0.477,0.451,0.418,0.562,0.346,0.591,0.38,0.593,0.522,0.391,0.458,0.458,0.489,0.485,0.432,0.524,0.533,0.497,0.502,0.5,0.482,0.438,0.555,0.403,0.5,0.453,0.525,0.493,0.578,0.567,0.454,0.462,0.374,0.487,0.452,0.515,0.457,0.538,0.537,0.51,0.416,0.543,0.534,0.469,0.506,0.452,0.477,0.549,0.445,0.515,0.527,0.45,0.523,0.414,0.563,0.508,0.562,0.581,0.567,0.623,0.461,0.542,0.471,0.51,0.479,0.431,0.596,0.493,0.395,0.574,0.481,0.463,0.441,0.5,0.542,0.382,0.537,0.434,0.525,0.432,0.49,0.416,0.466,0.625,0.408,0.567,0.421,0.614,0.582,0.432,0.528,0.545,0.374,0.493,0.449,0.538,0.444,0.658,0.533,0.605,0.549,0.483,0.46,0.555,0.464,0.558,0.496,0.52,0.528,0.596,0.43
90,131,131,0.156,0.5033768,8.34e-05,0.156,0,0,0,0.336,0.689,0.503,0.336,0.689,0.503,13|117,0.689|0.662,0.488,0.382,0.643,0.551,0.497,0.615,0.556,0.579,0.63,0.526,0.544,0.413,0.586,0.689,0.555,0.579,0.336,0.618,0.504,0.41,0.473,0.449,0.411,0.556,0.349,0.589,0.36,0.611,0.519,0.397,0.459,0.455,0.483,0.47,0.432,0.546,0.546,0.484,0.505,0.506,0.483,0.431,0.564,0.407,0.512,0.463,0.527,0.498,0.586,0.551,0.442,0.466,0.366,0.493,0.444,0.515,0.446,0.546,0.563,0.503,0.401,0.544,0.53,0.468,0.508,0.459,0.47,0.551,0.453,0.513,0.539,0.444,0.537,0.391,0.563,0.539,0.564,0.595,0.547,0.631,0.474,0.54,0.456,0.518,0.475,0.422,0.601,0.501,0.393,0.589,0.47,0.455,0.417,0.498,0.532,0.384,0.547,0.425,0.544,0.422,0.494,0.414,0.472,0.628,0.395,0.573,0.41,0.631,0.575,0.44,0.545,0.541,0.355,0.502,0.429,0.542,0.434,0.662,0.549,0.608,0.551,0.488,0.469,0.562,0.477,0.563,0.519,0.527,0.535,0.598,0.434
