epoch,l0_cw,l0_s,props,mse_loss,l1_loss,lambda_value,loss,oa,aa,k,min_cw,max_cw,avg_cw,min_s,max_s,avg_s,selected_bands,selected_weights,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10,weight_11,weight_12,weight_13,weight_14,weight_15,weight_16,weight_17,weight_18,weight_19,weight_20,weight_21,weight_22,weight_23,weight_24,weight_25,weight_26,weight_27,weight_28,weight_29,weight_30,weight_31,weight_32,weight_33,weight_34,weight_35,weight_36,weight_37,weight_38,weight_39,weight_40,weight_41,weight_42,weight_43,weight_44,weight_45,weight_46,weight_47,weight_48,weight_49,weight_50,weight_51,weight_52,weight_53,weight_54,weight_55,weight_56,weight_57,weight_58,weight_59,weight_60,weight_61,weight_62,weight_63,weight_64,weight_65,weight_66,weight_67,weight_68,weight_69,weight_70,weight_71,weight_72,weight_73,weight_74,weight_75,weight_76,weight_77,weight_78,weight_79,weight_80,weight_81,weight_82,weight_83,weight_84,weight_85,weight_86,weight_87,weight_88,weight_89,weight_90,weight_91,weight_92,weight_93,weight_94,weight_95,weight_96,weight_97,weight_98,weight_99,weight_100,weight_101,weight_102,weight_103,weight_104,weight_105,weight_106,weight_107,weight_108,weight_109,weight_110,weight_111,weight_112,weight_113,weight_114,weight_115,weight_116,weight_117,weight_118,weight_119,weight_120,weight_121,weight_122,weight_123,weight_124,weight_125,weight_126,weight_127,weight_128,weight_129,weight_130
0,131,131,0,1.559,0.0775662,0.001,1.559,0,0,0,0.01,0.245,0.078,0.01,0.245,0.078,116|0,0.245|0.215,0.215,0.068,0.044,0.075,0.074,0.029,0.077,0.042,0.071,0.058,0.035,0.029,0.097,0.048,0.027,0.155,0.057,0.116,0.124,0.01,0.028,0.068,0.106,0.106,0.14,0.054,0.064,0.066,0.065,0.11,0.03,0.059,0.156,0.063,0.13,0.037,0.133,0.1,0.078,0.06,0.103,0.033,0.053,0.031,0.051,0.039,0.017,0.148,0.131,0.047,0.068,0.024,0.052,0.062,0.026,0.176,0.061,0.064,0.028,0.024,0.048,0.032,0.051,0.17,0.051,0.056,0.076,0.014,0.078,0.045,0.129,0.07,0.045,0.136,0.167,0.022,0.171,0.069,0.036,0.062,0.08,0.049,0.179,0.082,0.077,0.095,0.084,0.062,0.044,0.107,0.144,0.089,0.051,0.074,0.17,0.074,0.028,0.051,0.117,0.057,0.063,0.056,0.061,0.02,0.032,0.011,0.03,0.164,0.033,0.093,0.126,0.068,0.071,0.039,0.053,0.056,0.245,0.189,0.103,0.081,0.165,0.061,0.045,0.1,0.03,0.093,0.012,0.177,0.073,0.179,0.047
10,131,131,0,0.883,0.1827816,0.001,0.883,0,0,0,0.012,0.599,0.183,0.012,0.599,0.183,117|28,0.599|0.565,0.303,0.054,0.148,0.518,0.037,0.068,0.322,0.163,0.049,0.178,0.016,0.36,0.087,0.015,0.094,0.187,0.08,0.329,0.097,0.113,0.316,0.2,0.08,0.223,0.095,0.154,0.162,0.046,0.565,0.184,0.079,0.333,0.03,0.238,0.214,0.231,0.27,0.46,0.403,0.025,0.012,0.138,0.309,0.321,0.247,0.182,0.182,0.407,0.074,0.456,0.084,0.215,0.279,0.148,0.101,0.12,0.038,0.156,0.149,0.257,0.264,0.194,0.164,0.336,0.327,0.113,0.197,0.346,0.216,0.062,0.181,0.168,0.089,0.201,0.154,0.162,0.034,0.175,0.083,0.018,0.102,0.148,0.152,0.025,0.158,0.161,0.117,0.326,0.208,0.063,0.106,0.111,0.046,0.237,0.38,0.351,0.228,0.015,0.468,0.313,0.127,0.018,0.023,0.083,0.099,0.106,0.117,0.554,0.148,0.071,0.253,0.093,0.207,0.198,0.134,0.211,0.024,0.599,0.063,0.136,0.49,0.198,0.108,0.041,0.263,0.022,0.019,0.059,0.341,0.448,0.092
20,131,131,0,0.69,0.2144358,0.001,0.69,0,0,0,0.008,0.876,0.214,0.008,0.876,0.214,117|28,0.876|0.755,0.146,0.046,0.239,0.536,0.042,0.066,0.253,0.205,0.024,0.032,0.008,0.57,0.09,0.031,0.127,0.29,0.098,0.434,0.054,0.129,0.396,0.215,0.057,0.271,0.192,0.194,0.139,0.061,0.755,0.215,0.064,0.384,0.042,0.285,0.267,0.353,0.326,0.564,0.444,0.069,0.017,0.119,0.425,0.394,0.27,0.17,0.211,0.473,0.087,0.544,0.022,0.315,0.336,0.09,0.086,0.272,0.033,0.283,0.134,0.36,0.292,0.246,0.213,0.529,0.339,0.135,0.213,0.306,0.236,0.106,0.227,0.154,0.185,0.204,0.234,0.181,0.011,0.156,0.044,0.017,0.096,0.124,0.199,0.068,0.172,0.159,0.204,0.392,0.184,0.213,0.044,0.088,0.055,0.196,0.416,0.363,0.179,0.071,0.567,0.434,0.105,0.123,0.026,0.089,0.2,0.021,0.146,0.71,0.089,0.208,0.239,0.167,0.19,0.21,0.139,0.34,0.101,0.876,0.053,0.019,0.534,0.215,0.198,0.083,0.365,0.058,0.044,0.142,0.338,0.44,0.02
30,131,131,0,0.565,0.2323652,0.001,0.566,0,0,0,0.013,1.008,0.232,0.013,1.008,0.232,117|28,1.008|0.846,0.136,0.104,0.304,0.563,0.112,0.066,0.268,0.172,0.025,0.013,0.028,0.752,0.135,0.021,0.124,0.282,0.109,0.526,0.083,0.164,0.457,0.23,0.023,0.33,0.179,0.265,0.164,0.013,0.846,0.212,0.018,0.447,0.017,0.339,0.284,0.42,0.346,0.634,0.42,0.084,0.024,0.121,0.482,0.406,0.277,0.245,0.262,0.505,0.126,0.524,0.029,0.299,0.376,0.095,0.05,0.361,0.032,0.273,0.161,0.412,0.298,0.288,0.221,0.61,0.405,0.089,0.247,0.253,0.242,0.151,0.229,0.155,0.239,0.214,0.26,0.146,0.013,0.113,0.028,0.024,0.087,0.119,0.218,0.107,0.158,0.132,0.228,0.437,0.179,0.245,0.105,0.085,0.054,0.216,0.392,0.41,0.101,0.064,0.607,0.488,0.086,0.145,0.026,0.073,0.265,0.022,0.189,0.741,0.063,0.214,0.224,0.224,0.212,0.139,0.159,0.422,0.133,1.008,0.023,0.025,0.555,0.22,0.274,0.076,0.386,0.08,0.082,0.159,0.304,0.461,0.018
40,131,131,0,0.465,0.2492003,0.001,0.465,0,0,0,0.006,1.086,0.249,0.006,1.086,0.249,117|28,1.086|0.92,0.179,0.124,0.375,0.635,0.133,0.059,0.306,0.233,0.033,0.006,0.033,0.884,0.158,0.026,0.121,0.295,0.131,0.589,0.126,0.193,0.501,0.24,0.022,0.312,0.169,0.287,0.17,0.025,0.92,0.231,0.019,0.496,0.022,0.383,0.31,0.438,0.349,0.666,0.439,0.128,0.034,0.131,0.552,0.416,0.319,0.342,0.248,0.504,0.091,0.471,0.072,0.293,0.384,0.129,0.037,0.386,0.028,0.246,0.194,0.428,0.335,0.343,0.249,0.66,0.459,0.066,0.241,0.215,0.259,0.212,0.244,0.157,0.241,0.242,0.278,0.126,0.06,0.099,0.013,0.022,0.069,0.081,0.245,0.108,0.158,0.128,0.227,0.444,0.193,0.283,0.146,0.146,0.044,0.216,0.403,0.429,0.078,0.092,0.586,0.542,0.093,0.19,0.023,0.078,0.254,0.027,0.195,0.76,0.055,0.217,0.251,0.242,0.239,0.113,0.144,0.456,0.122,1.086,0.022,0.069,0.57,0.272,0.309,0.065,0.406,0.121,0.051,0.18,0.337,0.459,0.03
50,131,131,0,0.403,0.2603508,0.001,0.404,0,0,0,0.008,1.136,0.26,0.008,1.136,0.26,117|11,1.136|1.005,0.222,0.095,0.416,0.69,0.17,0.057,0.392,0.229,0.039,0.008,0.02,1.005,0.136,0.028,0.11,0.291,0.158,0.632,0.151,0.226,0.512,0.251,0.018,0.303,0.17,0.318,0.167,0.04,0.969,0.2,0.019,0.591,0.035,0.42,0.311,0.441,0.352,0.721,0.45,0.187,0.028,0.135,0.576,0.433,0.361,0.389,0.234,0.479,0.101,0.437,0.117,0.29,0.372,0.134,0.024,0.386,0.025,0.222,0.2,0.402,0.371,0.408,0.298,0.709,0.493,0.074,0.256,0.168,0.257,0.234,0.275,0.145,0.274,0.229,0.292,0.105,0.078,0.088,0.016,0.019,0.051,0.018,0.256,0.105,0.162,0.121,0.24,0.447,0.23,0.341,0.152,0.205,0.041,0.22,0.413,0.417,0.075,0.118,0.588,0.593,0.066,0.194,0.026,0.099,0.307,0.022,0.211,0.762,0.054,0.209,0.268,0.264,0.22,0.092,0.131,0.472,0.144,1.136,0.021,0.079,0.587,0.298,0.326,0.036,0.424,0.095,0.065,0.195,0.365,0.424,0.037
60,131,131,0,0.346,0.2701083,0.001,0.347,0,0,0,0.008,1.167,0.27,0.008,1.167,0.27,117|11,1.167|1.093,0.257,0.079,0.454,0.718,0.211,0.058,0.442,0.225,0.043,0.01,0.02,1.093,0.138,0.03,0.108,0.281,0.177,0.681,0.176,0.226,0.536,0.262,0.018,0.282,0.161,0.363,0.184,0.008,1.008,0.176,0.021,0.651,0.017,0.455,0.329,0.469,0.356,0.774,0.455,0.248,0.026,0.14,0.593,0.449,0.382,0.437,0.224,0.457,0.088,0.399,0.154,0.266,0.379,0.158,0.039,0.422,0.021,0.214,0.192,0.379,0.411,0.453,0.334,0.768,0.517,0.087,0.259,0.138,0.268,0.272,0.278,0.148,0.291,0.237,0.308,0.085,0.062,0.109,0.024,0.014,0.037,0.015,0.278,0.099,0.166,0.12,0.222,0.453,0.271,0.335,0.141,0.239,0.042,0.221,0.393,0.435,0.066,0.139,0.574,0.621,0.07,0.188,0.035,0.113,0.328,0.016,0.232,0.781,0.053,0.225,0.285,0.247,0.228,0.086,0.099,0.497,0.155,1.167,0.032,0.09,0.567,0.293,0.342,0.047,0.425,0.077,0.086,0.206,0.379,0.434,0.052
70,131,131,0,0.324,0.2769645,0.001,0.324,0,0,0,0.009,1.191,0.277,0.009,1.191,0.277,117|11,1.191|1.139,0.272,0.067,0.501,0.741,0.226,0.06,0.511,0.218,0.049,0.009,0.02,1.139,0.131,0.034,0.096,0.286,0.191,0.716,0.187,0.222,0.552,0.266,0.015,0.278,0.162,0.397,0.186,0.027,1.053,0.164,0.019,0.714,0.012,0.469,0.319,0.488,0.383,0.785,0.478,0.277,0.027,0.143,0.621,0.462,0.394,0.482,0.22,0.43,0.076,0.371,0.167,0.281,0.388,0.182,0.033,0.443,0.018,0.216,0.186,0.379,0.447,0.485,0.368,0.798,0.539,0.086,0.241,0.137,0.291,0.308,0.293,0.154,0.287,0.256,0.332,0.068,0.045,0.124,0.026,0.014,0.019,0.016,0.293,0.102,0.165,0.102,0.226,0.448,0.324,0.341,0.121,0.258,0.036,0.213,0.421,0.437,0.054,0.135,0.57,0.651,0.043,0.183,0.02,0.12,0.339,0.014,0.257,0.768,0.052,0.203,0.276,0.252,0.228,0.082,0.082,0.515,0.162,1.191,0.024,0.099,0.57,0.295,0.325,0.047,0.431,0.048,0.094,0.22,0.372,0.437,0.058
80,131,131,0,0.289,0.2847806,0.001,0.29,0,0,0,0.009,1.208,0.285,0.009,1.208,0.285,117|11,1.208|1.18,0.276,0.061,0.542,0.75,0.224,0.064,0.558,0.185,0.049,0.017,0.04,1.18,0.114,0.038,0.099,0.294,0.182,0.754,0.2,0.237,0.584,0.271,0.014,0.299,0.151,0.426,0.192,0.009,1.102,0.153,0.023,0.767,0.054,0.498,0.325,0.505,0.396,0.813,0.506,0.284,0.039,0.142,0.65,0.451,0.414,0.534,0.207,0.439,0.07,0.366,0.194,0.288,0.372,0.191,0.03,0.463,0.018,0.233,0.193,0.386,0.459,0.494,0.408,0.836,0.545,0.083,0.237,0.155,0.308,0.318,0.304,0.176,0.291,0.269,0.353,0.051,0.038,0.129,0.032,0.018,0.019,0.023,0.291,0.113,0.161,0.087,0.224,0.446,0.368,0.354,0.123,0.295,0.028,0.219,0.411,0.442,0.063,0.132,0.575,0.674,0.034,0.175,0.024,0.127,0.329,0.011,0.267,0.763,0.054,0.195,0.274,0.248,0.21,0.082,0.07,0.536,0.16,1.208,0.023,0.121,0.56,0.295,0.346,0.054,0.432,0.031,0.086,0.233,0.364,0.46,0.062
90,131,131,0,0.254,0.2934067,0.001,0.254,0,0,0,0.012,1.231,0.293,0.012,1.231,0.293,11|117,1.231|1.219,0.303,0.054,0.556,0.782,0.224,0.068,0.595,0.192,0.057,0.022,0.047,1.231,0.124,0.041,0.094,0.309,0.191,0.779,0.211,0.249,0.603,0.279,0.013,0.325,0.13,0.448,0.211,0.012,1.138,0.152,0.024,0.821,0.034,0.527,0.337,0.507,0.393,0.84,0.516,0.33,0.038,0.143,0.683,0.46,0.444,0.55,0.201,0.445,0.079,0.35,0.223,0.297,0.392,0.197,0.03,0.49,0.035,0.237,0.19,0.401,0.471,0.548,0.441,0.88,0.544,0.115,0.249,0.156,0.31,0.328,0.302,0.188,0.293,0.253,0.36,0.059,0.026,0.146,0.029,0.016,0.018,0.057,0.312,0.109,0.163,0.092,0.21,0.442,0.387,0.357,0.111,0.303,0.032,0.228,0.413,0.429,0.076,0.117,0.576,0.728,0.033,0.186,0.025,0.125,0.317,0.013,0.288,0.771,0.058,0.201,0.278,0.258,0.212,0.078,0.053,0.544,0.152,1.219,0.023,0.133,0.541,0.312,0.338,0.074,0.423,0.034,0.087,0.24,0.362,0.464,0.064
