epoch,l0_cw,l0_s,mse_loss,l1_loss,lambda_value,loss,oa,aa,k,min_cw,max_cw,avg_cw,min_s,max_s,avg_s,selected_bands,selected_weights,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10,weight_11,weight_12,weight_13,weight_14,weight_15,weight_16,weight_17,weight_18,weight_19,weight_20,weight_21,weight_22,weight_23,weight_24,weight_25,weight_26,weight_27,weight_28,weight_29,weight_30,weight_31,weight_32,weight_33,weight_34,weight_35,weight_36,weight_37,weight_38,weight_39,weight_40,weight_41,weight_42,weight_43,weight_44,weight_45,weight_46,weight_47,weight_48,weight_49,weight_50,weight_51,weight_52,weight_53,weight_54,weight_55,weight_56,weight_57,weight_58,weight_59,weight_60,weight_61,weight_62,weight_63,weight_64,weight_65,weight_66,weight_67,weight_68,weight_69,weight_70,weight_71,weight_72,weight_73,weight_74,weight_75,weight_76,weight_77,weight_78,weight_79,weight_80,weight_81,weight_82,weight_83,weight_84,weight_85,weight_86,weight_87,weight_88,weight_89,weight_90,weight_91,weight_92,weight_93,weight_94,weight_95,weight_96,weight_97,weight_98,weight_99,weight_100,weight_101,weight_102,weight_103,weight_104,weight_105,weight_106,weight_107,weight_108,weight_109,weight_110,weight_111,weight_112,weight_113,weight_114,weight_115,weight_116,weight_117,weight_118,weight_119,weight_120,weight_121,weight_122,weight_123,weight_124,weight_125,weight_126,weight_127,weight_128,weight_129,weight_130
0,131,131,1.743,0.0737284,0.001,1.743,0,0,0,0.008,0.252,0.074,0.008,0.252,0.074,98|26,0.252|0.208,0.104,0.068,0.191,0.052,0.162,0.054,0.084,0.068,0.038,0.033,0.024,0.028,0.008,0.043,0.106,0.125,0.027,0.013,0.02,0.034,0.134,0.045,0.039,0.045,0.061,0.061,0.208,0.031,0.018,0.017,0.021,0.116,0.072,0.093,0.06,0.044,0.048,0.091,0.108,0.022,0.177,0.111,0.027,0.057,0.126,0.021,0.055,0.029,0.057,0.115,0.039,0.109,0.098,0.041,0.076,0.074,0.041,0.046,0.08,0.154,0.025,0.025,0.032,0.033,0.133,0.07,0.051,0.1,0.05,0.087,0.026,0.12,0.042,0.064,0.076,0.056,0.027,0.089,0.081,0.137,0.062,0.051,0.068,0.087,0.093,0.041,0.147,0.154,0.021,0.107,0.018,0.022,0.099,0.073,0.026,0.075,0.122,0.077,0.252,0.177,0.123,0.018,0.093,0.053,0.113,0.027,0.164,0.039,0.013,0.029,0.087,0.042,0.067,0.11,0.087,0.035,0.052,0.08,0.037,0.037,0.026,0.106,0.085,0.157,0.045,0.156,0.103,0.105,0.17,0.048,0.108
10,131,131,0.878,0.1957657,0.001,0.878,0,0,0,0.011,0.613,0.196,0.011,0.613,0.196,26|104,0.613|0.593,0.201,0.141,0.021,0.017,0.487,0.085,0.338,0.16,0.387,0.319,0.256,0.175,0.151,0.293,0.042,0.14,0.272,0.105,0.182,0.011,0.285,0.113,0.192,0.398,0.298,0.45,0.613,0.084,0.093,0.211,0.12,0.158,0.395,0.415,0.242,0.236,0.238,0.107,0.05,0.086,0.105,0.089,0.117,0.032,0.048,0.053,0.247,0.084,0.272,0.331,0.05,0.286,0.033,0.178,0.273,0.118,0.305,0.168,0.047,0.139,0.123,0.31,0.188,0.141,0.461,0.12,0.266,0.271,0.084,0.176,0.063,0.466,0.32,0.307,0.136,0.055,0.24,0.019,0.162,0.502,0.021,0.064,0.034,0.025,0.064,0.111,0.208,0.16,0.463,0.458,0.151,0.085,0.428,0.073,0.123,0.23,0.452,0.444,0.148,0.206,0.205,0.09,0.452,0.113,0.593,0.184,0.098,0.245,0.25,0.036,0.13,0.057,0.122,0.442,0.013,0.059,0.047,0.118,0.113,0.316,0.134,0.112,0.026,0.32,0.259,0.256,0.121,0.282,0.464,0.033,0.055
20,131,131,0.684,0.2439893,0.001,0.684,0,0,0,0.006,0.784,0.244,0.006,0.784,0.244,26|104,0.784|0.658,0.124,0.166,0.054,0.176,0.471,0.208,0.413,0.035,0.476,0.48,0.401,0.214,0.165,0.382,0.03,0.224,0.379,0.117,0.264,0.015,0.394,0.172,0.33,0.494,0.422,0.566,0.784,0.085,0.168,0.429,0.163,0.17,0.501,0.501,0.277,0.286,0.274,0.007,0.156,0.091,0.05,0.059,0.148,0.054,0.044,0.063,0.332,0.202,0.232,0.259,0.043,0.298,0.02,0.255,0.343,0.17,0.323,0.17,0.035,0.232,0.199,0.318,0.254,0.169,0.648,0.171,0.315,0.371,0.186,0.231,0.044,0.583,0.349,0.371,0.178,0.059,0.348,0.069,0.178,0.568,0.028,0.062,0.034,0.015,0.083,0.109,0.144,0.179,0.656,0.562,0.09,0.223,0.526,0.028,0.135,0.292,0.587,0.492,0.258,0.28,0.286,0.046,0.545,0.045,0.658,0.241,0.166,0.301,0.265,0.05,0.207,0.04,0.101,0.495,0.135,0.151,0.192,0.162,0.279,0.359,0.148,0.141,0.006,0.461,0.211,0.348,0.184,0.352,0.423,0.055,0.118
30,131,131,0.539,0.2773033,0.001,0.54,0,0,0,0.009,0.845,0.277,0.009,0.845,0.277,26|64,0.845|0.706,0.11,0.348,0.026,0.435,0.32,0.275,0.51,0.049,0.508,0.58,0.567,0.329,0.232,0.44,0.035,0.269,0.44,0.114,0.305,0.023,0.476,0.162,0.416,0.577,0.526,0.682,0.845,0.219,0.226,0.47,0.297,0.202,0.544,0.555,0.353,0.297,0.309,0.064,0.192,0.08,0.015,0.059,0.147,0.05,0.031,0.078,0.395,0.271,0.214,0.235,0.026,0.315,0.022,0.25,0.39,0.199,0.353,0.2,0.028,0.301,0.278,0.29,0.304,0.157,0.706,0.199,0.385,0.397,0.205,0.268,0.044,0.62,0.374,0.4,0.16,0.036,0.261,0.076,0.235,0.621,0.067,0.012,0.037,0.015,0.087,0.099,0.15,0.236,0.696,0.543,0.026,0.217,0.586,0.031,0.192,0.305,0.677,0.572,0.262,0.315,0.307,0.124,0.632,0.009,0.652,0.24,0.254,0.332,0.252,0.064,0.283,0.032,0.126,0.568,0.169,0.203,0.255,0.206,0.359,0.466,0.159,0.13,0.063,0.528,0.218,0.344,0.238,0.354,0.36,0.073,0.197
40,131,131,0.437,0.3003176,0.001,0.437,0,0,0,0.015,0.888,0.3,0.015,0.888,0.3,26|64,0.888|0.777,0.162,0.404,0.033,0.522,0.24,0.321,0.626,0.034,0.51,0.612,0.702,0.474,0.273,0.511,0.038,0.375,0.504,0.148,0.365,0.035,0.534,0.179,0.412,0.655,0.576,0.736,0.888,0.318,0.317,0.483,0.363,0.198,0.586,0.584,0.426,0.277,0.317,0.107,0.209,0.081,0.02,0.05,0.151,0.015,0.035,0.076,0.46,0.263,0.204,0.146,0.031,0.364,0.025,0.228,0.396,0.228,0.356,0.18,0.036,0.327,0.283,0.309,0.326,0.174,0.777,0.211,0.461,0.383,0.184,0.293,0.053,0.676,0.378,0.424,0.16,0.063,0.261,0.058,0.295,0.668,0.041,0.049,0.046,0.023,0.089,0.093,0.181,0.254,0.73,0.518,0.079,0.19,0.616,0.041,0.205,0.319,0.707,0.616,0.263,0.357,0.299,0.165,0.649,0.021,0.641,0.292,0.323,0.314,0.288,0.064,0.32,0.033,0.129,0.567,0.168,0.238,0.275,0.225,0.418,0.543,0.168,0.12,0.081,0.553,0.217,0.384,0.229,0.404,0.35,0.07,0.215
50,131,131,0.377,0.3158514,0.001,0.377,0,0,0,0.01,0.935,0.316,0.01,0.935,0.316,26|64,0.935|0.812,0.223,0.377,0.035,0.573,0.199,0.368,0.684,0.026,0.51,0.638,0.735,0.524,0.3,0.56,0.048,0.445,0.559,0.178,0.378,0.041,0.558,0.169,0.395,0.697,0.628,0.774,0.935,0.339,0.343,0.506,0.382,0.221,0.613,0.613,0.463,0.328,0.331,0.116,0.232,0.087,0.056,0.063,0.171,0.042,0.027,0.072,0.481,0.238,0.201,0.092,0.02,0.385,0.029,0.228,0.407,0.249,0.337,0.212,0.042,0.358,0.312,0.324,0.354,0.185,0.812,0.197,0.491,0.369,0.184,0.286,0.059,0.708,0.388,0.44,0.181,0.051,0.308,0.022,0.349,0.684,0.039,0.054,0.054,0.037,0.085,0.091,0.168,0.255,0.78,0.492,0.121,0.185,0.637,0.04,0.2,0.339,0.755,0.62,0.27,0.437,0.276,0.127,0.631,0.01,0.622,0.336,0.397,0.321,0.314,0.076,0.385,0.036,0.134,0.552,0.161,0.263,0.306,0.242,0.46,0.604,0.18,0.108,0.071,0.555,0.216,0.415,0.267,0.472,0.377,0.031,0.232
60,131,131,0.332,0.32492,0.001,0.332,0,0,0,0.011,0.965,0.325,0.011,0.965,0.325,26|64,0.965|0.836,0.253,0.366,0.027,0.607,0.22,0.378,0.728,0.025,0.489,0.651,0.764,0.595,0.307,0.6,0.046,0.477,0.6,0.203,0.396,0.048,0.569,0.182,0.386,0.726,0.653,0.814,0.965,0.37,0.363,0.518,0.409,0.261,0.631,0.596,0.488,0.331,0.326,0.114,0.254,0.09,0.057,0.048,0.153,0.049,0.024,0.061,0.489,0.2,0.181,0.062,0.02,0.43,0.032,0.204,0.421,0.268,0.342,0.243,0.043,0.357,0.335,0.349,0.356,0.184,0.836,0.222,0.524,0.377,0.185,0.329,0.062,0.736,0.373,0.464,0.183,0.079,0.351,0.02,0.388,0.69,0.014,0.065,0.049,0.024,0.084,0.087,0.17,0.26,0.824,0.482,0.16,0.176,0.649,0.041,0.199,0.353,0.784,0.649,0.3,0.467,0.231,0.143,0.611,0.011,0.612,0.349,0.443,0.312,0.308,0.081,0.407,0.035,0.13,0.534,0.131,0.26,0.318,0.257,0.49,0.631,0.18,0.122,0.075,0.537,0.175,0.42,0.291,0.475,0.379,0.032,0.194
70,131,131,0.295,0.3330872,0.001,0.295,0,0,0,0.014,0.987,0.333,0.014,0.987,0.333,26|88,0.987|0.858,0.265,0.362,0.029,0.631,0.232,0.404,0.78,0.028,0.472,0.654,0.814,0.635,0.33,0.631,0.045,0.509,0.64,0.219,0.4,0.052,0.608,0.199,0.398,0.748,0.679,0.848,0.987,0.403,0.377,0.534,0.425,0.268,0.641,0.618,0.505,0.369,0.334,0.115,0.289,0.093,0.031,0.045,0.137,0.05,0.021,0.058,0.485,0.177,0.163,0.042,0.018,0.472,0.033,0.188,0.439,0.28,0.344,0.263,0.041,0.364,0.339,0.369,0.38,0.222,0.853,0.246,0.567,0.377,0.17,0.322,0.065,0.766,0.358,0.464,0.179,0.069,0.41,0.026,0.402,0.681,0.024,0.055,0.05,0.025,0.078,0.083,0.165,0.254,0.858,0.49,0.167,0.159,0.68,0.036,0.188,0.351,0.793,0.676,0.278,0.49,0.217,0.163,0.607,0.014,0.613,0.354,0.478,0.307,0.31,0.077,0.415,0.031,0.124,0.533,0.104,0.266,0.33,0.276,0.504,0.65,0.183,0.129,0.085,0.53,0.154,0.438,0.287,0.481,0.385,0.033,0.169
80,131,131,0.266,0.3412344,0.001,0.266,0,0,0,0.017,1.0,0.341,0.017,1.0,0.341,26|25,1.0|0.901,0.318,0.357,0.029,0.651,0.234,0.42,0.857,0.029,0.499,0.664,0.849,0.658,0.335,0.645,0.044,0.539,0.668,0.233,0.412,0.05,0.63,0.201,0.384,0.764,0.703,0.901,1.0,0.449,0.412,0.562,0.43,0.265,0.66,0.633,0.506,0.366,0.321,0.102,0.299,0.1,0.025,0.053,0.114,0.073,0.018,0.052,0.494,0.144,0.157,0.022,0.017,0.518,0.027,0.186,0.445,0.306,0.333,0.283,0.046,0.359,0.354,0.395,0.404,0.239,0.875,0.247,0.555,0.402,0.163,0.346,0.062,0.792,0.364,0.487,0.161,0.07,0.441,0.034,0.425,0.685,0.022,0.043,0.05,0.025,0.08,0.082,0.18,0.239,0.883,0.468,0.192,0.165,0.681,0.088,0.18,0.356,0.808,0.709,0.302,0.515,0.203,0.188,0.612,0.019,0.603,0.351,0.502,0.288,0.323,0.071,0.429,0.032,0.087,0.54,0.107,0.252,0.335,0.282,0.514,0.656,0.185,0.116,0.098,0.531,0.126,0.451,0.306,0.506,0.381,0.034,0.154
90,131,131,0.244,0.3477623,0.001,0.244,0,0,0,0.011,1.033,0.348,0.011,1.033,0.348,26|88,1.033|0.917,0.324,0.342,0.026,0.674,0.239,0.422,0.906,0.028,0.494,0.67,0.878,0.705,0.34,0.663,0.039,0.569,0.703,0.247,0.409,0.052,0.632,0.191,0.379,0.798,0.709,0.911,1.033,0.461,0.423,0.57,0.442,0.277,0.678,0.63,0.508,0.377,0.342,0.137,0.316,0.102,0.022,0.051,0.112,0.068,0.029,0.049,0.486,0.14,0.15,0.011,0.03,0.551,0.023,0.199,0.455,0.331,0.354,0.314,0.045,0.356,0.363,0.415,0.425,0.265,0.884,0.253,0.582,0.411,0.165,0.336,0.062,0.807,0.357,0.466,0.169,0.072,0.484,0.033,0.414,0.68,0.032,0.047,0.051,0.058,0.08,0.08,0.18,0.225,0.917,0.471,0.207,0.152,0.703,0.111,0.191,0.362,0.817,0.694,0.29,0.509,0.213,0.218,0.616,0.021,0.608,0.36,0.529,0.264,0.31,0.067,0.449,0.035,0.082,0.535,0.079,0.257,0.332,0.292,0.531,0.648,0.182,0.128,0.116,0.515,0.132,0.469,0.31,0.485,0.366,0.029,0.134
