dataset,target_size,algorithm,props,time,oa,aa,k,selected_bands,selected_weights
indian_pines,2,msobsdr3,0,308.84,0.555,0.419,0.419,70|137,1|1
indian_pines,3,msobsdr3,0,307.627,0.628,0.503,0.503,59|116|162,1|1|1
indian_pines,4,msobsdr3,0,296.556,0.664,0.591,0.591,45|84|124|163,1|1|1|1
indian_pines,5,msobsdr3,0,302.54,0.624,0.559,0.559,38|71|104|137|169,1|1|1|1|1
indian_pines,6,msobsdr3,0,305.929,0.714,0.672,0.672,35|69|98|126|153|178,1|1|1|1|1|1
indian_pines,7,msobsdr3,0,309.295,0.67,0.612,0.612,30|55|79|104|128|153|178,1|1|1|1|1|1|1
indian_pines,8,msobsdr3,0,308.573,0.726,0.698,0.698,27|49|71|93|115|137|159|181,1|1|1|1|1|1|1|1
indian_pines,9,msobsdr3,0,311.518,0.707,0.682,0.682,28|50|71|88|110|130|149|167|185,1|1|1|1|1|1|1|1|1
indian_pines,10,msobsdr3,0,314.548,0.719,0.68,0.68,24|42|59|77|95|113|131|149|167|185,1|1|1|1|1|1|1|1|1|1
indian_pines,11,msobsdr3,0,317.946,0.717,0.689,0.689,24|42|57|73|91|110|127|142|159|173|188,1|1|1|1|1|1|1|1|1|1|1
indian_pines,12,msobsdr3,0,319.814,0.741,0.706,0.706,21|36|51|66|81|97|111|127|141|157|172|187,1|1|1|1|1|1|1|1|1|1|1|1
indian_pines,13,msobsdr3,0,322.923,0.724,0.679,0.679,21|36|52|67|81|94|109|123|137|150|164|177|191,1|1|1|1|1|1|1|1|1|1|1|1|1
indian_pines,14,msobsdr3,0,325.322,0.731,0.699,0.699,19|32|45|58|71|85|98|111|124|137|149|163|176|189,1|1|1|1|1|1|1|1|1|1|1|1|1|1
indian_pines,15,msobsdr3,0,334.87,0.711,0.671,0.671,18|30|43|55|69|80|92|104|117|129|141|154|165|178|191,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
indian_pines,16,msobsdr3,0,328.181,0.714,0.675,0.675,17|28|40|52|64|75|86|99|110|124|132|145|156|168|179|191,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
indian_pines,17,msobsdr3,0,335.004,0.743,0.695,0.695,16|27|37|49|59|71|81|93|104|115|126|136|148|159|170|181|192,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
indian_pines,18,msobsdr3,0,337.201,0.739,0.704,0.704,16|25|36|48|58|68|78|89|99|109|120|129|140|151|161|172|182|192,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
indian_pines,19,msobsdr3,0,344.65,0.711,0.646,0.646,15|24|35|45|54|64|74|84|95|104|115|124|132|143|153|163|173|184|194,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
indian_pines,20,msobsdr3,0,342.226,0.755,0.734,0.734,15|23|34|43|53|62|71|81|91|100|109|118|127|137|147|157|165|174|184|193,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
indian_pines,21,msobsdr3,0,348.202,0.734,0.68,0.68,14|24|32|41|50|59|68|77|85|95|104|112|124|130|139|149|159|167|176|185|194,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
indian_pines,22,msobsdr3,0,350.962,0.75,0.689,0.689,16|25|34|43|52|59|70|75|86|95|101|113|121|130|138|146|154|163|171|179|187|196,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
indian_pines,23,msobsdr3,0,354.511,0.743,0.72,0.72,16|24|32|41|50|58|67|73|83|91|100|108|116|125|133|141|148|157|164|172|180|188|196,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
indian_pines,24,msobsdr3,0,353.21,0.749,0.713,0.713,13|20|28|37|45|53|61|68|77|84|92|100|108|116|124|130|139|148|156|163|171|179|187|195,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
indian_pines,25,msobsdr3,0,359.019,0.742,0.697,0.697,13|20|27|36|44|51|59|66|73|81|89|97|104|112|121|127|134|142|149|157|164|172|180|187|195,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
