dataset,target_size,algorithm,props,time,oa,aa,k,selected_bands,selected_weights
ghisaconus_health,2,c2,0,182.967,0.471,0.412,0.412,33|76,0.029411964118480682|0.002701669232919812
ghisaconus_health,3,c2,0,0.0,0.596,0.529,0.529,12|33|76,0.0014792141737416387|0.029411964118480682|0.002701669232919812
ghisaconus_health,4,c2,0,0.0,0.609,0.564,0.564,12|33|70|76,0.0014792141737416387|0.029411964118480682|0.0014734184369444847|0.002701669232919812
ghisaconus_health,5,c2,0,0.0,0.647,0.602,0.602,12|33|70|76|98,0.0014792141737416387|0.029411964118480682|0.0014734184369444847|0.002701669232919812|0.0014763553626835346
ghisaconus_health,6,c2,0,0.0,0.665,0.627,0.627,12|33|43|70|76|98,0.0014792141737416387|0.029411964118480682|0.001518190372735262|0.0014734184369444847|0.002701669232919812|0.0014763553626835346
ghisaconus_health,7,c2,0,0.0,0.668,0.633,0.633,1|12|33|43|70|76|98,0.01108704973012209|0.0014792141737416387|0.029411964118480682|0.001518190372735262|0.0014734184369444847|0.002701669232919812|0.0014763553626835346
ghisaconus_health,8,c2,0,0.0,0.668,0.632,0.632,1|12|33|40|43|70|76|98,0.01108704973012209|0.0014792141737416387|0.029411964118480682|0.01719330996274948|0.001518190372735262|0.0014734184369444847|0.002701669232919812|0.0014763553626835346
ghisaconus_health,9,c2,0,0.0,0.677,0.637,0.637,1|12|33|40|43|62|70|76|98,0.01108704973012209|0.0014792141737416387|0.029411964118480682|0.01719330996274948|0.001518190372735262|0.0014690898824483156|0.0014734184369444847|0.002701669232919812|0.0014763553626835346
ghisaconus_health,10,c2,0,0.0,0.683,0.643,0.643,1|12|33|40|43|62|70|76|98|103,0.01108704973012209|0.0014792141737416387|0.029411964118480682|0.01719330996274948|0.001518190372735262|0.0014690898824483156|0.0014734184369444847|0.002701669232919812|0.0014763553626835346|0.001464820932596922
ghisaconus_health,11,c2,0,0.0,0.702,0.658,0.658,1|12|27|33|40|43|62|70|76|98|103,0.01108704973012209|0.0014792141737416387|0.0014759063487872481|0.029411964118480682|0.01719330996274948|0.001518190372735262|0.0014690898824483156|0.0014734184369444847|0.002701669232919812|0.0014763553626835346|0.001464820932596922
ghisaconus_health,12,c2,0,0.0,0.702,0.66,0.66,1|12|27|33|40|43|44|62|70|76|98|103,0.01108704973012209|0.0014792141737416387|0.0014759063487872481|0.029411964118480682|0.01719330996274948|0.001518190372735262|0.0014702511252835393|0.0014690898824483156|0.0014734184369444847|0.002701669232919812|0.0014763553626835346|0.001464820932596922
ghisaconus_health,13,c2,0,0.0,0.699,0.655,0.655,1|12|27|33|40|43|44|50|62|70|76|98|103,0.01108704973012209|0.0014792141737416387|0.0014759063487872481|0.029411964118480682|0.01719330996274948|0.001518190372735262|0.0014702511252835393|0.04767920449376106|0.0014690898824483156|0.0014734184369444847|0.002701669232919812|0.0014763553626835346|0.001464820932596922
ghisaconus_health,14,c2,0,0.0,0.698,0.654,0.654,1|12|27|33|40|43|44|50|62|70|76|98|100|103,0.01108704973012209|0.0014792141737416387|0.0014759063487872481|0.029411964118480682|0.01719330996274948|0.001518190372735262|0.0014702511252835393|0.04767920449376106|0.0014690898824483156|0.0014734184369444847|0.002701669232919812|0.0014763553626835346|0.0014644269831478596|0.001464820932596922
ghisaconus_health,15,c2,0,0.0,0.699,0.654,0.654,1|12|27|33|40|43|44|50|62|70|76|90|98|100|103,0.01108704973012209|0.0014792141737416387|0.0014759063487872481|0.029411964118480682|0.01719330996274948|0.001518190372735262|0.0014702511252835393|0.04767920449376106|0.0014690898824483156|0.0014734184369444847|0.002701669232919812|0.0014713192358613014|0.0014763553626835346|0.0014644269831478596|0.001464820932596922
ghisaconus_health,16,c2,0,0.0,0.703,0.659,0.659,1|7|12|27|33|40|43|44|50|62|70|76|90|98|100|103,0.01108704973012209|0.0014907439472153783|0.0014792141737416387|0.0014759063487872481|0.029411964118480682|0.01719330996274948|0.001518190372735262|0.0014702511252835393|0.04767920449376106|0.0014690898824483156|0.0014734184369444847|0.002701669232919812|0.0014713192358613014|0.0014763553626835346|0.0014644269831478596|0.001464820932596922
ghisaconus_health,17,c2,0,0.0,0.703,0.658,0.658,1|7|12|27|33|40|43|44|47|50|62|70|76|90|98|100|103,0.01108704973012209|0.0014907439472153783|0.0014792141737416387|0.0014759063487872481|0.029411964118480682|0.01719330996274948|0.001518190372735262|0.0014702511252835393|0.0014703492633998394|0.04767920449376106|0.0014690898824483156|0.0014734184369444847|0.002701669232919812|0.0014713192358613014|0.0014763553626835346|0.0014644269831478596|0.001464820932596922
ghisaconus_health,18,c2,0,0.0,0.703,0.659,0.659,1|7|12|27|33|40|43|44|47|50|62|66|70|76|90|98|100|103,0.01108704973012209|0.0014907439472153783|0.0014792141737416387|0.0014759063487872481|0.029411964118480682|0.01719330996274948|0.001518190372735262|0.0014702511252835393|0.0014703492633998394|0.04767920449376106|0.0014690898824483156|0.00147849484346807|0.0014734184369444847|0.002701669232919812|0.0014713192358613014|0.0014763553626835346|0.0014644269831478596|0.001464820932596922
ghisaconus_health,19,c2,0,0.0,0.704,0.659,0.659,1|7|12|21|27|33|40|43|44|47|50|62|66|70|76|90|98|100|103,0.01108704973012209|0.0014907439472153783|0.0014792141737416387|0.014944205060601234|0.0014759063487872481|0.029411964118480682|0.01719330996274948|0.001518190372735262|0.0014702511252835393|0.0014703492633998394|0.04767920449376106|0.0014690898824483156|0.00147849484346807|0.0014734184369444847|0.002701669232919812|0.0014713192358613014|0.0014763553626835346|0.0014644269831478596|0.001464820932596922
ghisaconus_health,20,c2,0,0.0,0.705,0.659,0.659,1|7|12|21|27|33|40|43|44|47|50|62|63|66|70|76|90|98|100|103,0.01108704973012209|0.0014907439472153783|0.0014792141737416387|0.014944205060601234|0.0014759063487872481|0.029411964118480682|0.01719330996274948|0.001518190372735262|0.0014702511252835393|0.0014703492633998394|0.04767920449376106|0.0014690898824483156|0.0014762348728254437|0.00147849484346807|0.0014734184369444847|0.002701669232919812|0.0014713192358613014|0.0014763553626835346|0.0014644269831478596|0.001464820932596922
ghisaconus_health,21,c2,0,0.0,0.704,0.659,0.659,1|7|12|18|21|27|33|40|43|44|47|50|62|63|66|70|76|90|98|100|103,0.01108704973012209|0.0014907439472153783|0.0014792141737416387|0.0014837296912446618|0.014944205060601234|0.0014759063487872481|0.029411964118480682|0.01719330996274948|0.001518190372735262|0.0014702511252835393|0.0014703492633998394|0.04767920449376106|0.0014690898824483156|0.0014762348728254437|0.00147849484346807|0.0014734184369444847|0.002701669232919812|0.0014713192358613014|0.0014763553626835346|0.0014644269831478596|0.001464820932596922
ghisaconus_health,22,c2,0,0.0,0.705,0.659,0.659,1|7|12|18|21|27|29|33|40|43|44|47|50|62|63|66|70|76|90|98|100|103,0.01108704973012209|0.0014907439472153783|0.0014792141737416387|0.0014837296912446618|0.014944205060601234|0.0014759063487872481|0.015516545623540878|0.029411964118480682|0.01719330996274948|0.001518190372735262|0.0014702511252835393|0.0014703492633998394|0.04767920449376106|0.0014690898824483156|0.0014762348728254437|0.00147849484346807|0.0014734184369444847|0.002701669232919812|0.0014713192358613014|0.0014763553626835346|0.0014644269831478596|0.001464820932596922
ghisaconus_health,23,c2,0,0.0,0.705,0.66,0.66,1|7|12|18|21|27|29|33|40|43|44|47|50|62|63|66|70|76|90|98|100|103|117,0.01108704973012209|0.0014907439472153783|0.0014792141737416387|0.0014837296912446618|0.014944205060601234|0.0014759063487872481|0.015516545623540878|0.029411964118480682|0.01719330996274948|0.001518190372735262|0.0014702511252835393|0.0014703492633998394|0.04767920449376106|0.0014690898824483156|0.0014762348728254437|0.00147849484346807|0.0014734184369444847|0.002701669232919812|0.0014713192358613014|0.0014763553626835346|0.0014644269831478596|0.001464820932596922|0.002690814435482025
ghisaconus_health,24,c2,0,0.0,0.706,0.66,0.66,1|7|12|18|21|27|29|33|40|43|44|47|50|58|62|63|66|70|76|90|98|100|103|117,0.01108704973012209|0.0014907439472153783|0.0014792141737416387|0.0014837296912446618|0.014944205060601234|0.0014759063487872481|0.015516545623540878|0.029411964118480682|0.01719330996274948|0.001518190372735262|0.0014702511252835393|0.0014703492633998394|0.04767920449376106|0.010979798622429371|0.0014690898824483156|0.0014762348728254437|0.00147849484346807|0.0014734184369444847|0.002701669232919812|0.0014713192358613014|0.0014763553626835346|0.0014644269831478596|0.001464820932596922|0.002690814435482025
ghisaconus_health,25,c2,0,0.0,0.71,0.663,0.663,1|7|12|18|21|27|29|32|33|40|43|44|47|50|58|62|63|66|70|76|90|98|100|103|117,0.01108704973012209|0.0014907439472153783|0.0014792141737416387|0.0014837296912446618|0.014944205060601234|0.0014759063487872481|0.015516545623540878|0.00148090161383152|0.029411964118480682|0.01719330996274948|0.001518190372735262|0.0014702511252835393|0.0014703492633998394|0.04767920449376106|0.010979798622429371|0.0014690898824483156|0.0014762348728254437|0.00147849484346807|0.0014734184369444847|0.002701669232919812|0.0014713192358613014|0.0014763553626835346|0.0014644269831478596|0.001464820932596922|0.002690814435482025
ghisaconus_health,26,c2,0,0.0,0.711,0.664,0.664,1|7|12|18|21|27|29|32|33|40|43|44|47|50|58|62|63|66|70|76|90|98|100|103|117|126,0.01108704973012209|0.0014907439472153783|0.0014792141737416387|0.0014837296912446618|0.014944205060601234|0.0014759063487872481|0.015516545623540878|0.00148090161383152|0.029411964118480682|0.01719330996274948|0.001518190372735262|0.0014702511252835393|0.0014703492633998394|0.04767920449376106|0.010979798622429371|0.0014690898824483156|0.0014762348728254437|0.00147849484346807|0.0014734184369444847|0.002701669232919812|0.0014713192358613014|0.0014763553626835346|0.0014644269831478596|0.001464820932596922|0.002690814435482025|0.008988291956484318
