epoch,l0_cw,l0_s,mse_loss,l1_loss,lambda_value,loss,oa,aa,k,min_cw,max_cw,avg_cw,min_s,max_s,avg_s,selected_bands,selected_weights,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10,weight_11,weight_12,weight_13,weight_14,weight_15,weight_16,weight_17,weight_18,weight_19,weight_20,weight_21,weight_22,weight_23,weight_24,weight_25,weight_26,weight_27,weight_28,weight_29,weight_30,weight_31,weight_32,weight_33,weight_34,weight_35,weight_36,weight_37,weight_38,weight_39,weight_40,weight_41,weight_42,weight_43,weight_44,weight_45,weight_46,weight_47,weight_48,weight_49,weight_50,weight_51,weight_52,weight_53,weight_54,weight_55,weight_56,weight_57,weight_58,weight_59,weight_60,weight_61,weight_62,weight_63,weight_64,weight_65,weight_66,weight_67,weight_68,weight_69,weight_70,weight_71,weight_72,weight_73,weight_74,weight_75,weight_76,weight_77,weight_78,weight_79,weight_80,weight_81,weight_82,weight_83,weight_84,weight_85,weight_86,weight_87,weight_88,weight_89,weight_90,weight_91,weight_92,weight_93,weight_94,weight_95,weight_96,weight_97,weight_98,weight_99,weight_100,weight_101,weight_102,weight_103,weight_104,weight_105,weight_106,weight_107,weight_108,weight_109,weight_110,weight_111,weight_112,weight_113,weight_114,weight_115,weight_116,weight_117,weight_118,weight_119,weight_120,weight_121,weight_122,weight_123,weight_124,weight_125,weight_126,weight_127,weight_128,weight_129,weight_130
0,131,131,2.07,4.8741202,0.001,2.075,0.477,0.371,0.331,0.008,0.201,0.074,0.008,0.201,0.074,119|120,0.201|0.193,0.062,0.066,0.07,0.045,0.066,0.086,0.038,0.105,0.11,0.026,0.047,0.143,0.147,0.043,0.017,0.081,0.07,0.029,0.062,0.073,0.028,0.037,0.038,0.053,0.067,0.035,0.04,0.023,0.054,0.034,0.075,0.085,0.18,0.051,0.033,0.046,0.116,0.035,0.029,0.035,0.114,0.09,0.088,0.087,0.077,0.122,0.037,0.057,0.032,0.105,0.036,0.097,0.101,0.035,0.039,0.115,0.041,0.055,0.087,0.03,0.09,0.037,0.092,0.04,0.044,0.028,0.049,0.065,0.171,0.174,0.036,0.157,0.011,0.185,0.113,0.129,0.008,0.037,0.073,0.101,0.035,0.059,0.044,0.047,0.094,0.108,0.026,0.11,0.021,0.068,0.025,0.087,0.033,0.151,0.031,0.038,0.095,0.087,0.112,0.111,0.082,0.156,0.028,0.039,0.147,0.02,0.048,0.017,0.045,0.165,0.047,0.035,0.02,0.155,0.046,0.119,0.166,0.098,0.013,0.201,0.193,0.029,0.093,0.157,0.056,0.097,0.076,0.075,0.093,0.156,0.114
10,131,131,0.803,4.863637,0.001,0.808,0.471,0.376,0.327,0.011,0.806,0.221,0.011,0.806,0.221,120|129,0.806|0.667,0.417,0.415,0.117,0.027,0.167,0.325,0.114,0.07,0.023,0.061,0.146,0.463,0.306,0.385,0.298,0.175,0.241,0.399,0.383,0.415,0.462,0.183,0.397,0.301,0.252,0.09,0.289,0.244,0.142,0.083,0.262,0.206,0.251,0.365,0.14,0.016,0.264,0.088,0.014,0.308,0.571,0.119,0.171,0.128,0.35,0.292,0.121,0.074,0.255,0.514,0.167,0.239,0.011,0.026,0.052,0.246,0.228,0.349,0.227,0.385,0.157,0.055,0.053,0.421,0.09,0.124,0.118,0.071,0.164,0.055,0.096,0.163,0.218,0.165,0.304,0.266,0.413,0.177,0.203,0.377,0.064,0.361,0.094,0.12,0.123,0.041,0.167,0.064,0.072,0.252,0.233,0.089,0.138,0.219,0.066,0.261,0.383,0.443,0.288,0.314,0.092,0.538,0.323,0.124,0.312,0.174,0.068,0.355,0.228,0.035,0.267,0.132,0.403,0.28,0.144,0.076,0.067,0.242,0.039,0.184,0.806,0.302,0.276,0.221,0.321,0.086,0.021,0.203,0.412,0.667,0.256
20,131,131,0.648,4.8571563,0.001,0.653,0.471,0.376,0.327,0.01,0.971,0.275,0.01,0.971,0.275,120|129,0.971|0.78,0.403,0.529,0.134,0.056,0.196,0.367,0.188,0.085,0.105,0.242,0.249,0.605,0.43,0.487,0.34,0.253,0.302,0.504,0.531,0.549,0.532,0.232,0.476,0.433,0.385,0.153,0.391,0.337,0.202,0.261,0.273,0.236,0.393,0.558,0.177,0.01,0.227,0.051,0.078,0.402,0.662,0.096,0.165,0.173,0.443,0.27,0.186,0.094,0.276,0.587,0.252,0.262,0.021,0.041,0.049,0.276,0.294,0.493,0.289,0.435,0.13,0.144,0.092,0.522,0.118,0.086,0.171,0.129,0.234,0.107,0.145,0.202,0.283,0.145,0.429,0.263,0.66,0.228,0.226,0.4,0.041,0.409,0.1,0.125,0.035,0.05,0.177,0.063,0.036,0.337,0.242,0.08,0.138,0.261,0.175,0.184,0.488,0.51,0.318,0.399,0.086,0.759,0.361,0.204,0.38,0.291,0.055,0.434,0.319,0.047,0.303,0.156,0.414,0.372,0.041,0.104,0.044,0.286,0.045,0.191,0.971,0.373,0.323,0.328,0.418,0.166,0.079,0.272,0.458,0.78,0.299
30,131,131,0.56,4.8523798,0.001,0.565,0.473,0.367,0.323,0.009,1.04,0.304,0.009,1.04,0.304,120|76,1.04|0.836,0.44,0.57,0.089,0.028,0.183,0.437,0.211,0.09,0.176,0.28,0.265,0.677,0.445,0.552,0.351,0.214,0.289,0.563,0.57,0.621,0.549,0.252,0.513,0.443,0.437,0.166,0.499,0.39,0.237,0.348,0.313,0.258,0.518,0.703,0.227,0.029,0.2,0.039,0.06,0.431,0.741,0.085,0.191,0.192,0.456,0.287,0.23,0.097,0.324,0.612,0.32,0.259,0.009,0.053,0.059,0.253,0.33,0.562,0.334,0.487,0.133,0.161,0.122,0.588,0.145,0.076,0.2,0.132,0.299,0.134,0.199,0.22,0.342,0.147,0.498,0.244,0.836,0.259,0.225,0.368,0.025,0.505,0.03,0.122,0.03,0.111,0.244,0.049,0.053,0.48,0.285,0.075,0.143,0.323,0.213,0.193,0.592,0.565,0.311,0.413,0.116,0.835,0.419,0.296,0.334,0.297,0.066,0.525,0.27,0.046,0.293,0.157,0.426,0.386,0.035,0.113,0.076,0.384,0.043,0.182,1.04,0.383,0.338,0.339,0.468,0.276,0.129,0.285,0.456,0.816,0.327
40,131,131,0.492,4.8490691,0.001,0.496,0.464,0.361,0.313,0.01,1.057,0.323,0.01,1.057,0.323,120|101,1.057|0.926,0.495,0.629,0.054,0.071,0.208,0.483,0.211,0.11,0.171,0.327,0.214,0.74,0.459,0.593,0.349,0.187,0.273,0.613,0.575,0.662,0.575,0.276,0.532,0.423,0.478,0.192,0.565,0.4,0.201,0.392,0.324,0.28,0.599,0.801,0.244,0.079,0.166,0.025,0.093,0.476,0.773,0.103,0.174,0.218,0.465,0.268,0.282,0.093,0.322,0.623,0.395,0.259,0.01,0.054,0.056,0.26,0.329,0.626,0.351,0.47,0.13,0.182,0.187,0.603,0.146,0.074,0.249,0.181,0.338,0.155,0.239,0.239,0.318,0.127,0.532,0.233,0.894,0.28,0.228,0.353,0.04,0.584,0.038,0.112,0.035,0.115,0.273,0.066,0.049,0.584,0.348,0.063,0.138,0.376,0.168,0.213,0.661,0.598,0.342,0.401,0.158,0.926,0.485,0.348,0.269,0.289,0.064,0.591,0.258,0.028,0.262,0.187,0.455,0.391,0.059,0.126,0.089,0.474,0.045,0.198,1.057,0.389,0.337,0.353,0.519,0.345,0.186,0.281,0.441,0.815,0.331
50,131,131,0.449,4.847024,0.001,0.454,0.464,0.361,0.313,0.011,1.036,0.332,0.011,1.036,0.332,120|101,1.036|0.953,0.537,0.661,0.032,0.104,0.239,0.531,0.222,0.129,0.176,0.339,0.199,0.797,0.444,0.626,0.338,0.178,0.282,0.62,0.551,0.693,0.601,0.249,0.531,0.396,0.488,0.207,0.617,0.374,0.167,0.422,0.337,0.284,0.665,0.84,0.255,0.083,0.167,0.02,0.11,0.52,0.789,0.138,0.162,0.239,0.466,0.231,0.29,0.084,0.333,0.624,0.436,0.266,0.011,0.049,0.05,0.296,0.322,0.627,0.365,0.468,0.163,0.202,0.211,0.605,0.134,0.069,0.25,0.185,0.364,0.148,0.271,0.244,0.319,0.101,0.547,0.211,0.941,0.281,0.215,0.334,0.09,0.618,0.039,0.095,0.037,0.093,0.268,0.042,0.061,0.645,0.394,0.049,0.119,0.408,0.156,0.241,0.689,0.628,0.326,0.385,0.151,0.953,0.516,0.383,0.211,0.282,0.076,0.628,0.268,0.028,0.257,0.198,0.487,0.37,0.057,0.13,0.127,0.527,0.051,0.217,1.036,0.377,0.331,0.341,0.565,0.385,0.204,0.265,0.428,0.81,0.361
60,131,131,0.409,4.8449955,0.001,0.413,0.464,0.361,0.313,0.017,1.021,0.341,0.017,1.021,0.341,120|101,1.021|0.978,0.549,0.708,0.031,0.128,0.245,0.565,0.206,0.144,0.185,0.361,0.215,0.832,0.426,0.652,0.329,0.182,0.297,0.629,0.545,0.706,0.629,0.218,0.53,0.388,0.509,0.226,0.638,0.365,0.158,0.461,0.344,0.303,0.713,0.895,0.246,0.077,0.182,0.022,0.099,0.572,0.805,0.159,0.151,0.287,0.492,0.211,0.282,0.078,0.321,0.641,0.455,0.278,0.017,0.046,0.055,0.309,0.319,0.656,0.37,0.454,0.184,0.201,0.273,0.621,0.162,0.065,0.278,0.186,0.376,0.146,0.344,0.287,0.32,0.102,0.55,0.203,0.967,0.301,0.185,0.317,0.102,0.638,0.044,0.088,0.038,0.071,0.273,0.038,0.046,0.714,0.45,0.038,0.119,0.444,0.125,0.25,0.691,0.655,0.321,0.383,0.15,0.978,0.541,0.403,0.177,0.276,0.084,0.637,0.279,0.018,0.263,0.203,0.517,0.355,0.082,0.095,0.162,0.581,0.055,0.206,1.021,0.374,0.331,0.35,0.598,0.412,0.224,0.253,0.413,0.806,0.37
70,131,131,0.37,4.8428965,0.001,0.375,0.473,0.367,0.323,0.02,1.03,0.349,0.02,1.03,0.349,120|76,1.03|1.016,0.566,0.753,0.033,0.125,0.262,0.577,0.219,0.162,0.234,0.387,0.245,0.836,0.398,0.686,0.316,0.168,0.302,0.634,0.532,0.731,0.63,0.189,0.508,0.405,0.532,0.239,0.668,0.361,0.138,0.479,0.361,0.33,0.757,0.944,0.268,0.085,0.183,0.027,0.081,0.592,0.837,0.174,0.147,0.308,0.517,0.207,0.276,0.077,0.336,0.646,0.478,0.287,0.02,0.04,0.051,0.324,0.312,0.686,0.361,0.456,0.181,0.206,0.335,0.648,0.163,0.063,0.295,0.193,0.389,0.161,0.355,0.281,0.311,0.082,0.568,0.188,1.016,0.308,0.16,0.305,0.14,0.642,0.045,0.086,0.032,0.075,0.241,0.041,0.037,0.753,0.471,0.034,0.123,0.474,0.129,0.242,0.692,0.682,0.322,0.379,0.148,1.0,0.549,0.406,0.153,0.262,0.093,0.647,0.32,0.076,0.271,0.218,0.543,0.357,0.106,0.088,0.183,0.615,0.059,0.181,1.03,0.368,0.327,0.341,0.589,0.442,0.242,0.237,0.418,0.808,0.365
80,131,131,0.371,4.841352,0.001,0.375,0.473,0.367,0.323,0.024,1.035,0.355,0.024,1.035,0.355,76|120,1.035|1.028,0.551,0.781,0.037,0.132,0.287,0.599,0.237,0.181,0.251,0.418,0.247,0.862,0.381,0.693,0.343,0.179,0.298,0.621,0.511,0.766,0.633,0.164,0.495,0.387,0.523,0.238,0.659,0.352,0.122,0.497,0.365,0.361,0.798,0.991,0.255,0.07,0.172,0.027,0.07,0.623,0.856,0.174,0.143,0.334,0.535,0.185,0.27,0.079,0.364,0.667,0.507,0.266,0.024,0.04,0.048,0.334,0.329,0.687,0.353,0.477,0.202,0.208,0.359,0.665,0.17,0.061,0.323,0.202,0.396,0.172,0.395,0.296,0.309,0.072,0.594,0.207,1.035,0.316,0.115,0.293,0.159,0.645,0.039,0.085,0.032,0.051,0.239,0.04,0.049,0.767,0.493,0.029,0.132,0.506,0.124,0.255,0.686,0.689,0.339,0.368,0.152,1.01,0.578,0.396,0.155,0.284,0.099,0.656,0.365,0.048,0.274,0.217,0.543,0.335,0.114,0.086,0.217,0.638,0.06,0.176,1.028,0.375,0.33,0.312,0.58,0.46,0.263,0.221,0.412,0.811,0.337
90,131,131,0.304,4.8394518,0.001,0.308,0.492,0.381,0.348,0.012,1.058,0.359,0.012,1.058,0.359,76|101,1.058|1.043,0.569,0.798,0.036,0.164,0.301,0.618,0.223,0.2,0.239,0.45,0.251,0.871,0.358,0.692,0.331,0.174,0.309,0.647,0.51,0.774,0.619,0.165,0.5,0.389,0.542,0.237,0.686,0.366,0.122,0.496,0.381,0.39,0.85,1.029,0.259,0.059,0.167,0.021,0.058,0.649,0.873,0.183,0.124,0.361,0.567,0.193,0.262,0.078,0.371,0.683,0.537,0.263,0.023,0.035,0.049,0.344,0.35,0.695,0.344,0.481,0.202,0.214,0.403,0.671,0.184,0.058,0.333,0.188,0.401,0.19,0.41,0.302,0.304,0.074,0.603,0.234,1.058,0.331,0.105,0.286,0.184,0.65,0.038,0.083,0.031,0.043,0.257,0.042,0.058,0.791,0.485,0.026,0.135,0.538,0.11,0.237,0.671,0.684,0.355,0.359,0.166,1.043,0.577,0.384,0.141,0.3,0.098,0.659,0.382,0.012,0.281,0.196,0.527,0.312,0.141,0.063,0.206,0.673,0.057,0.156,1.032,0.375,0.305,0.286,0.57,0.45,0.245,0.199,0.379,0.791,0.339
