dataset,target_size,algorithm,props,oa,aa,k,fold
ghisaconus_health,2,c2,0,0.46,0.38,0.31,0
ghisaconus_health,2,c2,0,0.51,0.44,0.37,1
ghisaconus_health,2,c2,0,0.51,0.43,0.38,2
ghisaconus_health,2,c2,0,0.49,0.43,0.35,3
ghisaconus_health,2,c2,0,0.5,0.43,0.36,4
ghisaconus_health,2,c2,0,0.49,0.4,0.35,5
ghisaconus_health,2,c2,0,0.48,0.37,0.34,6
ghisaconus_health,2,c2,0,0.49,0.41,0.34,7
ghisaconus_health,2,c2,0,0.51,0.42,0.37,8
ghisaconus_health,2,c2,0,0.5,0.41,0.36,9
ghisaconus_health,2,c2,0,0.5,0.44,0.38,10
ghisaconus_health,2,c2,0,0.5,0.4,0.36,11
ghisaconus_health,2,c2,0,0.48,0.4,0.34,12
ghisaconus_health,2,c2,0,0.49,0.42,0.36,13
ghisaconus_health,2,c2,0,0.5,0.44,0.37,14
ghisaconus_health,2,c2,0,0.49,0.41,0.36,15
ghisaconus_health,2,c2,0,0.51,0.43,0.38,16
ghisaconus_health,2,c2,0,0.49,0.4,0.35,17
ghisaconus_health,2,c2,0,0.49,0.42,0.36,18
ghisaconus_health,2,c2,0,0.49,0.42,0.36,19
ghisaconus_health,3,c2,0,0.48,0.41,0.35,0
ghisaconus_health,3,c2,0,0.5,0.41,0.36,1
ghisaconus_health,3,c2,0,0.48,0.41,0.35,2
ghisaconus_health,3,c2,0,0.49,0.43,0.35,3
ghisaconus_health,3,c2,0,0.5,0.43,0.37,4
ghisaconus_health,3,c2,0,0.49,0.42,0.36,5
ghisaconus_health,3,c2,0,0.5,0.41,0.37,6
ghisaconus_health,3,c2,0,0.47,0.39,0.32,7
ghisaconus_health,3,c2,0,0.5,0.41,0.36,8
ghisaconus_health,3,c2,0,0.5,0.42,0.37,9
ghisaconus_health,3,c2,0,0.5,0.44,0.37,10
ghisaconus_health,3,c2,0,0.5,0.43,0.37,11
ghisaconus_health,3,c2,0,0.47,0.39,0.33,12
ghisaconus_health,3,c2,0,0.49,0.42,0.36,13
ghisaconus_health,3,c2,0,0.5,0.43,0.36,14
ghisaconus_health,3,c2,0,0.49,0.42,0.36,15
ghisaconus_health,3,c2,0,0.51,0.45,0.38,16
ghisaconus_health,3,c2,0,0.5,0.43,0.36,17
ghisaconus_health,3,c2,0,0.49,0.42,0.36,18
ghisaconus_health,3,c2,0,0.5,0.44,0.37,19
ghisaconus_health,4,c2,0,0.49,0.43,0.36,0
ghisaconus_health,4,c2,0,0.51,0.43,0.38,1
ghisaconus_health,4,c2,0,0.5,0.42,0.37,2
ghisaconus_health,4,c2,0,0.52,0.47,0.39,3
ghisaconus_health,4,c2,0,0.52,0.45,0.39,4
ghisaconus_health,4,c2,0,0.5,0.44,0.37,5
ghisaconus_health,4,c2,0,0.51,0.44,0.38,6
ghisaconus_health,4,c2,0,0.51,0.44,0.38,7
ghisaconus_health,4,c2,0,0.5,0.42,0.37,8
ghisaconus_health,4,c2,0,0.51,0.43,0.38,9
ghisaconus_health,4,c2,0,0.52,0.45,0.4,10
ghisaconus_health,4,c2,0,0.5,0.43,0.36,11
ghisaconus_health,4,c2,0,0.49,0.41,0.35,12
ghisaconus_health,4,c2,0,0.49,0.44,0.36,13
ghisaconus_health,4,c2,0,0.51,0.44,0.38,14
ghisaconus_health,4,c2,0,0.5,0.43,0.37,15
ghisaconus_health,4,c2,0,0.52,0.46,0.39,16
ghisaconus_health,4,c2,0,0.51,0.44,0.38,17
ghisaconus_health,4,c2,0,0.5,0.45,0.37,18
ghisaconus_health,4,c2,0,0.5,0.46,0.37,19
ghisaconus_health,5,c2,0,0.48,0.43,0.35,0
ghisaconus_health,5,c2,0,0.5,0.43,0.37,1
ghisaconus_health,5,c2,0,0.5,0.43,0.37,2
ghisaconus_health,5,c2,0,0.5,0.44,0.38,3
ghisaconus_health,5,c2,0,0.51,0.44,0.37,4
ghisaconus_health,5,c2,0,0.49,0.44,0.36,5
ghisaconus_health,5,c2,0,0.5,0.43,0.37,6
ghisaconus_health,5,c2,0,0.51,0.44,0.38,7
ghisaconus_health,5,c2,0,0.5,0.42,0.36,8
ghisaconus_health,5,c2,0,0.51,0.44,0.38,9
ghisaconus_health,5,c2,0,0.51,0.45,0.38,10
ghisaconus_health,5,c2,0,0.49,0.41,0.35,11
ghisaconus_health,5,c2,0,0.49,0.42,0.35,12
ghisaconus_health,5,c2,0,0.49,0.44,0.36,13
ghisaconus_health,5,c2,0,0.52,0.44,0.39,14
ghisaconus_health,5,c2,0,0.51,0.43,0.38,15
ghisaconus_health,5,c2,0,0.51,0.45,0.38,16
ghisaconus_health,5,c2,0,0.51,0.45,0.38,17
ghisaconus_health,5,c2,0,0.5,0.46,0.38,18
ghisaconus_health,5,c2,0,0.5,0.46,0.37,19
ghisaconus_health,6,c2,0,0.54,0.51,0.43,0
ghisaconus_health,6,c2,0,0.54,0.48,0.42,1
ghisaconus_health,6,c2,0,0.55,0.48,0.43,2
ghisaconus_health,6,c2,0,0.58,0.52,0.47,3
ghisaconus_health,6,c2,0,0.56,0.51,0.45,4
ghisaconus_health,6,c2,0,0.54,0.49,0.43,5
ghisaconus_health,6,c2,0,0.56,0.53,0.45,6
ghisaconus_health,6,c2,0,0.56,0.52,0.45,7
ghisaconus_health,6,c2,0,0.56,0.5,0.45,8
ghisaconus_health,6,c2,0,0.56,0.49,0.45,9
ghisaconus_health,6,c2,0,0.56,0.53,0.45,10
ghisaconus_health,6,c2,0,0.53,0.47,0.41,11
ghisaconus_health,6,c2,0,0.54,0.48,0.42,12
ghisaconus_health,6,c2,0,0.55,0.5,0.43,13
ghisaconus_health,6,c2,0,0.56,0.5,0.44,14
ghisaconus_health,6,c2,0,0.57,0.5,0.46,15
ghisaconus_health,6,c2,0,0.56,0.51,0.45,16
ghisaconus_health,6,c2,0,0.57,0.53,0.46,17
ghisaconus_health,6,c2,0,0.56,0.51,0.45,18
ghisaconus_health,6,c2,0,0.56,0.53,0.45,19
ghisaconus_health,7,c2,0,0.55,0.52,0.44,0
ghisaconus_health,7,c2,0,0.57,0.5,0.46,1
ghisaconus_health,7,c2,0,0.59,0.54,0.49,2
ghisaconus_health,7,c2,0,0.59,0.53,0.49,3
ghisaconus_health,7,c2,0,0.59,0.54,0.48,4
ghisaconus_health,7,c2,0,0.56,0.51,0.45,5
ghisaconus_health,7,c2,0,0.55,0.53,0.44,6
ghisaconus_health,7,c2,0,0.59,0.57,0.49,7
ghisaconus_health,7,c2,0,0.58,0.51,0.47,8
ghisaconus_health,7,c2,0,0.59,0.53,0.49,9
ghisaconus_health,7,c2,0,0.6,0.55,0.5,10
