dataset,target_size,algorithm,props,time,oa,aa,k,selected_bands,selected_weights
ghisaconus_health,2,c4,0,169.087,0.501,0.422,0.422,32|101,1.2420934438705444|0.7341620326042175
ghisaconus_health,3,c4,0,0.0,0.545,0.492,0.492,32|76|101,1.2420934438705444|0.0385252982378006|0.7341620326042175
ghisaconus_health,4,c4,0,0.0,0.553,0.496,0.496,32|33|76|101,1.2420934438705444|0.4310181438922882|0.0385252982378006|0.7341620326042175
ghisaconus_health,5,c4,0,0.0,0.566,0.514,0.514,32|33|76|101|120,1.2420934438705444|0.4310181438922882|0.0385252982378006|0.7341620326042175|0.29677101969718933
ghisaconus_health,6,c4,0,0.0,0.626,0.581,0.581,32|33|40|76|101|120,1.2420934438705444|0.4310181438922882|1.2736445665359497|0.0385252982378006|0.7341620326042175|0.29677101969718933
ghisaconus_health,7,c4,0,0.0,0.669,0.628,0.628,5|32|33|40|76|101|120,0.10551390051841736|1.2420934438705444|0.4310181438922882|1.2736445665359497|0.0385252982378006|0.7341620326042175|0.29677101969718933
ghisaconus_health,8,c4,0,0.0,0.665,0.624,0.624,1|5|32|33|40|76|101|120,0.13141584396362305|0.10551390051841736|1.2420934438705444|0.4310181438922882|1.2736445665359497|0.0385252982378006|0.7341620326042175|0.29677101969718933
ghisaconus_health,9,c4,0,0.0,0.663,0.625,0.625,1|5|32|33|40|63|76|101|120,0.13141584396362305|0.10551390051841736|1.2420934438705444|0.4310181438922882|1.2736445665359497|0.0715048536658287|0.0385252982378006|0.7341620326042175|0.29677101969718933
ghisaconus_health,10,c4,0,0.0,0.677,0.637,0.637,1|5|19|32|33|40|63|76|101|120,0.13141584396362305|0.10551390051841736|0.06677421927452087|1.2420934438705444|0.4310181438922882|1.2736445665359497|0.0715048536658287|0.0385252982378006|0.7341620326042175|0.29677101969718933
ghisaconus_health,11,c4,0,0.0,0.684,0.646,0.646,1|5|19|26|32|33|40|63|76|101|120,0.13141584396362305|0.10551390051841736|0.06677421927452087|0.021925102919340134|1.2420934438705444|0.4310181438922882|1.2736445665359497|0.0715048536658287|0.0385252982378006|0.7341620326042175|0.29677101969718933
ghisaconus_health,12,c4,0,0.0,0.688,0.648,0.648,1|5|11|19|26|32|33|40|63|76|101|120,0.13141584396362305|0.10551390051841736|1.070866346359253|0.06677421927452087|0.021925102919340134|1.2420934438705444|0.4310181438922882|1.2736445665359497|0.0715048536658287|0.0385252982378006|0.7341620326042175|0.29677101969718933
ghisaconus_health,13,c4,0,0.0,0.688,0.647,0.647,1|5|11|19|26|32|33|40|63|76|101|120|129,0.13141584396362305|0.10551390051841736|1.070866346359253|0.06677421927452087|0.021925102919340134|1.2420934438705444|0.4310181438922882|1.2736445665359497|0.0715048536658287|0.0385252982378006|0.7341620326042175|0.29677101969718933|0.5266874432563782
ghisaconus_health,14,c4,0,0.0,0.703,0.664,0.664,1|5|11|19|26|32|33|40|63|70|76|101|120|129,0.13141584396362305|0.10551390051841736|1.070866346359253|0.06677421927452087|0.021925102919340134|1.2420934438705444|0.4310181438922882|1.2736445665359497|0.0715048536658287|0.6665127277374268|0.0385252982378006|0.7341620326042175|0.29677101969718933|0.5266874432563782
ghisaconus_health,15,c4,0,0.0,0.704,0.664,0.664,1|5|11|19|26|29|32|33|40|63|70|76|101|120|129,0.13141584396362305|0.10551390051841736|1.070866346359253|0.06677421927452087|0.021925102919340134|0.10735173523426056|1.2420934438705444|0.4310181438922882|1.2736445665359497|0.0715048536658287|0.6665127277374268|0.0385252982378006|0.7341620326042175|0.29677101969718933|0.5266874432563782
ghisaconus_health,16,c4,0,0.0,0.708,0.668,0.668,1|5|11|19|26|29|32|33|40|44|63|70|76|101|120|129,0.13141584396362305|0.10551390051841736|1.070866346359253|0.06677421927452087|0.021925102919340134|0.10735173523426056|1.2420934438705444|0.4310181438922882|1.2736445665359497|0.027285069227218628|0.0715048536658287|0.6665127277374268|0.0385252982378006|0.7341620326042175|0.29677101969718933|0.5266874432563782
ghisaconus_health,17,c4,0,0.0,0.707,0.667,0.667,1|5|11|19|26|29|32|33|40|44|63|70|76|81|101|120|129,0.13141584396362305|0.10551390051841736|1.070866346359253|0.06677421927452087|0.021925102919340134|0.10735173523426056|1.2420934438705444|0.4310181438922882|1.2736445665359497|0.027285069227218628|0.0715048536658287|0.6665127277374268|0.0385252982378006|0.43312308192253113|0.7341620326042175|0.29677101969718933|0.5266874432563782
ghisaconus_health,18,c4,0,0.0,0.708,0.668,0.668,1|5|11|19|26|29|32|33|40|44|63|70|76|81|89|101|120|129,0.13141584396362305|0.10551390051841736|1.070866346359253|0.06677421927452087|0.021925102919340134|0.10735173523426056|1.2420934438705444|0.4310181438922882|1.2736445665359497|0.027285069227218628|0.0715048536658287|0.6665127277374268|0.0385252982378006|0.43312308192253113|0.6769475340843201|0.7341620326042175|0.29677101969718933|0.5266874432563782
ghisaconus_health,19,c4,0,0.0,0.708,0.667,0.667,1|5|11|19|26|29|32|33|40|44|57|63|70|76|81|89|101|120|129,0.13141584396362305|0.10551390051841736|1.070866346359253|0.06677421927452087|0.021925102919340134|0.10735173523426056|1.2420934438705444|0.4310181438922882|1.2736445665359497|0.027285069227218628|0.1775135099887848|0.0715048536658287|0.6665127277374268|0.0385252982378006|0.43312308192253113|0.6769475340843201|0.7341620326042175|0.29677101969718933|0.5266874432563782
ghisaconus_health,20,c4,0,0.0,0.71,0.669,0.669,1|5|11|19|26|29|32|33|40|44|57|63|70|76|81|89|97|101|120|129,0.13141584396362305|0.10551390051841736|1.070866346359253|0.06677421927452087|0.021925102919340134|0.10735173523426056|1.2420934438705444|0.4310181438922882|1.2736445665359497|0.027285069227218628|0.1775135099887848|0.0715048536658287|0.6665127277374268|0.0385252982378006|0.43312308192253113|0.6769475340843201|1.1268730163574219|0.7341620326042175|0.29677101969718933|0.5266874432563782
ghisaconus_health,21,c4,0,0.0,0.709,0.669,0.669,1|5|11|19|26|29|32|33|40|44|57|63|70|76|81|89|93|97|101|120|129,0.13141584396362305|0.10551390051841736|1.070866346359253|0.06677421927452087|0.021925102919340134|0.10735173523426056|1.2420934438705444|0.4310181438922882|1.2736445665359497|0.027285069227218628|0.1775135099887848|0.0715048536658287|0.6665127277374268|0.0385252982378006|0.43312308192253113|0.6769475340843201|0.4536593556404114|1.1268730163574219|0.7341620326042175|0.29677101969718933|0.5266874432563782
ghisaconus_health,22,c4,0,0.0,0.709,0.668,0.668,1|5|11|19|26|29|32|33|40|44|57|63|70|76|81|89|93|97|101|117|120|129,0.13141584396362305|0.10551390051841736|1.070866346359253|0.06677421927452087|0.021925102919340134|0.10735173523426056|1.2420934438705444|0.4310181438922882|1.2736445665359497|0.027285069227218628|0.1775135099887848|0.0715048536658287|0.6665127277374268|0.0385252982378006|0.43312308192253113|0.6769475340843201|0.4536593556404114|1.1268730163574219|0.7341620326042175|0.025816679000854492|0.29677101969718933|0.5266874432563782
ghisaconus_health,23,c4,0,0.0,0.711,0.669,0.669,1|5|11|19|26|29|32|33|40|44|57|62|63|70|76|81|89|93|97|101|117|120|129,0.13141584396362305|0.10551390051841736|1.070866346359253|0.06677421927452087|0.021925102919340134|0.10735173523426056|1.2420934438705444|0.4310181438922882|1.2736445665359497|0.027285069227218628|0.1775135099887848|0.8012759685516357|0.0715048536658287|0.6665127277374268|0.0385252982378006|0.43312308192253113|0.6769475340843201|0.4536593556404114|1.1268730163574219|0.7341620326042175|0.025816679000854492|0.29677101969718933|0.5266874432563782
ghisaconus_health,24,c4,0,0.0,0.711,0.668,0.668,1|5|11|19|22|26|29|32|33|40|44|57|62|63|70|76|81|89|93|97|101|117|120|129,0.13141584396362305|0.10551390051841736|1.070866346359253|0.06677421927452087|0.2529556453227997|0.021925102919340134|0.10735173523426056|1.2420934438705444|0.4310181438922882|1.2736445665359497|0.027285069227218628|0.1775135099887848|0.8012759685516357|0.0715048536658287|0.6665127277374268|0.0385252982378006|0.43312308192253113|0.6769475340843201|0.4536593556404114|1.1268730163574219|0.7341620326042175|0.025816679000854492|0.29677101969718933|0.5266874432563782
ghisaconus_health,25,c4,0,0.0,0.711,0.669,0.669,1|5|11|19|22|26|29|32|33|40|44|57|62|63|70|76|81|89|93|96|97|101|117|120|129,0.13141584396362305|0.10551390051841736|1.070866346359253|0.06677421927452087|0.2529556453227997|0.021925102919340134|0.10735173523426056|1.2420934438705444|0.4310181438922882|1.2736445665359497|0.027285069227218628|0.1775135099887848|0.8012759685516357|0.0715048536658287|0.6665127277374268|0.0385252982378006|0.43312308192253113|0.6769475340843201|0.4536593556404114|0.43385377526283264|1.1268730163574219|0.7341620326042175|0.025816679000854492|0.29677101969718933|0.5266874432563782
ghisaconus_health,26,c4,0,0.0,0.712,0.67,0.67,1|5|11|19|22|26|29|32|33|40|44|57|62|63|70|76|81|89|93|96|97|101|102|117|120|129,0.13141584396362305|0.10551390051841736|1.070866346359253|0.06677421927452087|0.2529556453227997|0.021925102919340134|0.10735173523426056|1.2420934438705444|0.4310181438922882|1.2736445665359497|0.027285069227218628|0.1775135099887848|0.8012759685516357|0.0715048536658287|0.6665127277374268|0.0385252982378006|0.43312308192253113|0.6769475340843201|0.4536593556404114|0.43385377526283264|1.1268730163574219|0.7341620326042175|0.17188747227191925|0.025816679000854492|0.29677101969718933|0.5266874432563782
ghisaconus_health,27,c4,0,0.0,0.713,0.671,0.671,1|5|11|19|22|26|29|32|33|40|44|57|62|63|70|76|81|89|93|96|97|101|102|117|120|125|129,0.13141584396362305|0.10551390051841736|1.070866346359253|0.06677421927452087|0.2529556453227997|0.021925102919340134|0.10735173523426056|1.2420934438705444|0.4310181438922882|1.2736445665359497|0.027285069227218628|0.1775135099887848|0.8012759685516357|0.0715048536658287|0.6665127277374268|0.0385252982378006|0.43312308192253113|0.6769475340843201|0.4536593556404114|0.43385377526283264|1.1268730163574219|0.7341620326042175|0.17188747227191925|0.025816679000854492|0.29677101969718933|1.0711324214935303|0.5266874432563782
ghisaconus_health,28,c4,0,0.0,0.712,0.67,0.67,1|5|11|19|22|26|29|32|33|40|44|57|58|62|63|70|76|81|89|93|96|97|101|102|117|120|125|129,0.13141584396362305|0.10551390051841736|1.070866346359253|0.06677421927452087|0.2529556453227997|0.021925102919340134|0.10735173523426056|1.2420934438705444|0.4310181438922882|1.2736445665359497|0.027285069227218628|0.1775135099887848|0.4220454692840576|0.8012759685516357|0.0715048536658287|0.6665127277374268|0.0385252982378006|0.43312308192253113|0.6769475340843201|0.4536593556404114|0.43385377526283264|1.1268730163574219|0.7341620326042175|0.17188747227191925|0.025816679000854492|0.29677101969718933|1.0711324214935303|0.5266874432563782
ghisaconus_health,29,c4,0,0.0,0.711,0.67,0.67,1|5|11|19|22|26|29|32|33|40|44|49|57|58|62|63|70|76|81|89|93|96|97|101|102|117|120|125|129,0.13141584396362305|0.10551390051841736|1.070866346359253|0.06677421927452087|0.2529556453227997|0.021925102919340134|0.10735173523426056|1.2420934438705444|0.4310181438922882|1.2736445665359497|0.027285069227218628|0.09579672664403915|0.1775135099887848|0.4220454692840576|0.8012759685516357|0.0715048536658287|0.6665127277374268|0.0385252982378006|0.43312308192253113|0.6769475340843201|0.4536593556404114|0.43385377526283264|1.1268730163574219|0.7341620326042175|0.17188747227191925|0.025816679000854492|0.29677101969718933|1.0711324214935303|0.5266874432563782
ghisaconus_health,30,c4,0,0.0,0.712,0.67,0.67,0|1|5|11|19|22|26|29|32|33|40|44|49|57|58|62|63|70|76|81|89|93|96|97|101|102|117|120|125|129,0.9364703297615051|0.13141584396362305|0.10551390051841736|1.070866346359253|0.06677421927452087|0.2529556453227997|0.021925102919340134|0.10735173523426056|1.2420934438705444|0.4310181438922882|1.2736445665359497|0.027285069227218628|0.09579672664403915|0.1775135099887848|0.4220454692840576|0.8012759685516357|0.0715048536658287|0.6665127277374268|0.0385252982378006|0.43312308192253113|0.6769475340843201|0.4536593556404114|0.43385377526283264|1.1268730163574219|0.7341620326042175|0.17188747227191925|0.025816679000854492|0.29677101969718933|1.0711324214935303|0.5266874432563782
