epoch,l0_cw,l0_s,mse_loss,s_loss,lambda_s,entropy_loss,lambda_e,loss,oa,aa,k,min_cw,max_cw,avg_cw,min_s,max_s,avg_s,selected_bands,selected_weights,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10,weight_11,weight_12,weight_13,weight_14,weight_15,weight_16,weight_17,weight_18,weight_19,weight_20,weight_21,weight_22,weight_23,weight_24,weight_25,weight_26,weight_27,weight_28,weight_29,weight_30,weight_31,weight_32,weight_33,weight_34,weight_35,weight_36,weight_37,weight_38,weight_39,weight_40,weight_41,weight_42,weight_43,weight_44,weight_45,weight_46,weight_47,weight_48,weight_49,weight_50,weight_51,weight_52,weight_53,weight_54,weight_55,weight_56,weight_57,weight_58,weight_59,weight_60,weight_61,weight_62,weight_63,weight_64,weight_65,weight_66,weight_67,weight_68,weight_69,weight_70,weight_71,weight_72,weight_73,weight_74,weight_75,weight_76,weight_77,weight_78,weight_79,weight_80,weight_81,weight_82,weight_83,weight_84,weight_85,weight_86,weight_87,weight_88,weight_89,weight_90,weight_91,weight_92,weight_93,weight_94,weight_95,weight_96,weight_97,weight_98,weight_99,weight_100,weight_101,weight_102,weight_103,weight_104,weight_105,weight_106,weight_107,weight_108,weight_109,weight_110,weight_111,weight_112,weight_113,weight_114,weight_115,weight_116,weight_117,weight_118,weight_119,weight_120,weight_121,weight_122,weight_123,weight_124,weight_125,weight_126,weight_127,weight_128,weight_129,weight_130
0,131,131,2.07,8.7420273,0.001,4.8741207,0.001,2.083,0.495,0.411,0.364,0.008,0.201,0.074,0.008,0.201,0.074,119|120,0.201|0.193,0.062,0.066,0.07,0.045,0.066,0.086,0.038,0.105,0.11,0.026,0.047,0.143,0.147,0.043,0.017,0.081,0.07,0.029,0.062,0.073,0.028,0.037,0.038,0.053,0.067,0.035,0.04,0.023,0.054,0.034,0.075,0.085,0.18,0.051,0.033,0.046,0.116,0.035,0.029,0.035,0.114,0.09,0.088,0.087,0.077,0.122,0.037,0.057,0.032,0.105,0.036,0.097,0.101,0.035,0.039,0.115,0.041,0.055,0.087,0.03,0.09,0.037,0.092,0.04,0.044,0.028,0.049,0.065,0.171,0.174,0.036,0.157,0.011,0.185,0.113,0.129,0.008,0.037,0.073,0.101,0.035,0.059,0.044,0.047,0.094,0.108,0.026,0.11,0.021,0.068,0.025,0.087,0.033,0.151,0.031,0.038,0.095,0.087,0.112,0.111,0.082,0.156,0.028,0.039,0.147,0.02,0.048,0.017,0.045,0.165,0.047,0.035,0.02,0.155,0.046,0.119,0.166,0.098,0.013,0.201,0.193,0.029,0.093,0.157,0.056,0.097,0.076,0.075,0.093,0.156,0.114
10,131,131,0.799,8.4702072,0.001,4.8630252,0.001,0.812,0.477,0.402,0.343,0.01,0.804,0.22,0.01,0.804,0.22,120|129,0.804|0.676,0.423,0.434,0.138,0.143,0.187,0.337,0.098,0.054,0.014,0.031,0.102,0.444,0.322,0.373,0.316,0.174,0.234,0.385,0.405,0.425,0.459,0.182,0.409,0.296,0.235,0.108,0.294,0.261,0.156,0.07,0.255,0.2,0.261,0.39,0.113,0.011,0.199,0.088,0.041,0.334,0.594,0.106,0.164,0.09,0.354,0.3,0.122,0.068,0.247,0.526,0.152,0.221,0.01,0.02,0.077,0.254,0.221,0.353,0.227,0.351,0.198,0.044,0.052,0.419,0.073,0.109,0.063,0.054,0.137,0.057,0.095,0.131,0.23,0.174,0.307,0.307,0.387,0.186,0.223,0.377,0.07,0.379,0.082,0.118,0.109,0.048,0.184,0.047,0.015,0.243,0.251,0.074,0.128,0.244,0.067,0.191,0.378,0.417,0.301,0.317,0.096,0.561,0.313,0.141,0.296,0.18,0.06,0.361,0.228,0.031,0.254,0.077,0.407,0.29,0.125,0.074,0.074,0.231,0.04,0.188,0.804,0.293,0.298,0.207,0.367,0.099,0.018,0.185,0.416,0.676,0.265
20,131,131,0.641,8.3449354,0.001,4.8549929,0.001,0.654,0.477,0.402,0.343,0.009,0.969,0.268,0.009,0.969,0.268,120|129,0.969|0.812,0.435,0.635,0.154,0.203,0.246,0.389,0.1,0.054,0.042,0.059,0.197,0.561,0.51,0.447,0.371,0.22,0.227,0.437,0.586,0.584,0.585,0.216,0.558,0.379,0.342,0.182,0.359,0.353,0.145,0.223,0.276,0.224,0.451,0.608,0.07,0.087,0.174,0.053,0.126,0.448,0.718,0.046,0.166,0.103,0.444,0.264,0.196,0.082,0.285,0.636,0.262,0.166,0.009,0.071,0.087,0.257,0.246,0.458,0.299,0.36,0.175,0.115,0.107,0.518,0.086,0.093,0.073,0.126,0.212,0.112,0.179,0.079,0.316,0.171,0.413,0.299,0.577,0.241,0.224,0.371,0.059,0.406,0.075,0.12,0.056,0.043,0.239,0.046,0.098,0.339,0.255,0.062,0.096,0.305,0.162,0.045,0.49,0.493,0.317,0.401,0.085,0.758,0.373,0.21,0.309,0.284,0.064,0.424,0.286,0.017,0.272,0.032,0.434,0.366,0.024,0.098,0.054,0.286,0.05,0.224,0.969,0.354,0.337,0.292,0.481,0.206,0.032,0.192,0.476,0.812,0.307
30,131,131,0.547,8.2603493,0.001,4.8490152,0.001,0.56,0.477,0.402,0.343,0.01,1.039,0.297,0.01,1.039,0.297,120|129,1.039|0.882,0.476,0.682,0.088,0.226,0.284,0.48,0.042,0.056,0.097,0.046,0.204,0.591,0.613,0.492,0.355,0.183,0.225,0.485,0.666,0.681,0.649,0.221,0.61,0.412,0.386,0.156,0.464,0.455,0.149,0.327,0.362,0.259,0.6,0.769,0.087,0.16,0.173,0.038,0.156,0.472,0.785,0.016,0.158,0.138,0.481,0.242,0.28,0.102,0.342,0.684,0.296,0.135,0.01,0.084,0.071,0.234,0.284,0.571,0.36,0.358,0.171,0.141,0.155,0.582,0.107,0.081,0.086,0.155,0.268,0.172,0.275,0.043,0.332,0.145,0.496,0.273,0.695,0.284,0.226,0.38,0.032,0.486,0.025,0.118,0.126,0.067,0.308,0.024,0.13,0.418,0.305,0.055,0.078,0.363,0.147,0.066,0.564,0.548,0.332,0.429,0.09,0.841,0.417,0.294,0.275,0.245,0.076,0.525,0.258,0.014,0.236,0.026,0.453,0.392,0.042,0.111,0.055,0.357,0.04,0.281,1.039,0.364,0.329,0.307,0.539,0.259,0.027,0.178,0.478,0.882,0.345
40,131,131,0.488,8.1578569,0.001,4.8443604,0.001,0.501,0.49,0.436,0.36,0.011,1.06,0.313,0.011,1.06,0.313,120|101,1.06|0.911,0.5,0.683,0.037,0.24,0.322,0.576,0.034,0.064,0.086,0.049,0.173,0.643,0.632,0.535,0.325,0.134,0.233,0.551,0.632,0.74,0.696,0.228,0.647,0.405,0.412,0.138,0.548,0.436,0.136,0.368,0.391,0.279,0.681,0.87,0.098,0.19,0.179,0.033,0.167,0.5,0.815,0.038,0.161,0.178,0.469,0.209,0.336,0.104,0.381,0.705,0.338,0.128,0.011,0.093,0.066,0.257,0.239,0.612,0.378,0.343,0.139,0.139,0.214,0.621,0.107,0.074,0.075,0.151,0.315,0.15,0.397,0.073,0.294,0.123,0.554,0.255,0.793,0.303,0.196,0.375,0.014,0.596,0.03,0.104,0.177,0.048,0.308,0.025,0.146,0.495,0.402,0.047,0.071,0.388,0.089,0.067,0.612,0.626,0.353,0.416,0.093,0.911,0.464,0.349,0.221,0.199,0.077,0.59,0.24,0.015,0.206,0.031,0.498,0.407,0.071,0.086,0.057,0.418,0.042,0.307,1.06,0.376,0.325,0.325,0.607,0.287,0.039,0.173,0.483,0.894,0.376
50,131,131,0.438,8.0581751,0.001,4.8405108,0.001,0.451,0.522,0.433,0.397,0.013,1.076,0.322,0.013,1.076,0.322,120|33,1.076|0.931,0.543,0.732,0.03,0.297,0.357,0.634,0.038,0.076,0.064,0.058,0.188,0.67,0.636,0.563,0.279,0.12,0.226,0.575,0.601,0.772,0.693,0.22,0.643,0.433,0.423,0.126,0.596,0.427,0.119,0.411,0.424,0.285,0.72,0.931,0.065,0.2,0.194,0.028,0.196,0.519,0.868,0.045,0.13,0.182,0.488,0.176,0.35,0.093,0.39,0.697,0.399,0.148,0.013,0.096,0.062,0.262,0.204,0.614,0.38,0.328,0.133,0.114,0.268,0.664,0.106,0.064,0.063,0.144,0.326,0.126,0.439,0.1,0.274,0.13,0.559,0.219,0.929,0.299,0.176,0.353,0.031,0.638,0.036,0.092,0.207,0.036,0.285,0.029,0.161,0.546,0.491,0.037,0.072,0.437,0.078,0.074,0.656,0.677,0.342,0.414,0.074,0.917,0.507,0.37,0.168,0.182,0.081,0.612,0.237,0.025,0.181,0.031,0.518,0.39,0.065,0.075,0.063,0.465,0.045,0.323,1.076,0.359,0.321,0.331,0.659,0.315,0.014,0.168,0.48,0.896,0.384
60,131,131,0.409,7.9562931,0.001,4.8373561,0.001,0.422,0.494,0.406,0.358,0.014,1.091,0.326,0.014,1.091,0.326,120|76,1.091|0.997,0.553,0.769,0.032,0.306,0.368,0.695,0.045,0.083,0.05,0.058,0.181,0.656,0.626,0.594,0.227,0.092,0.189,0.591,0.599,0.812,0.69,0.196,0.645,0.447,0.415,0.11,0.622,0.416,0.111,0.43,0.441,0.293,0.756,0.971,0.025,0.207,0.18,0.037,0.186,0.539,0.908,0.036,0.123,0.185,0.51,0.159,0.331,0.086,0.386,0.698,0.41,0.175,0.019,0.117,0.063,0.251,0.169,0.617,0.382,0.311,0.14,0.094,0.349,0.689,0.101,0.053,0.03,0.138,0.341,0.103,0.457,0.123,0.282,0.152,0.563,0.192,0.997,0.308,0.15,0.344,0.025,0.656,0.043,0.083,0.21,0.037,0.258,0.031,0.176,0.563,0.557,0.03,0.066,0.449,0.086,0.06,0.655,0.693,0.381,0.408,0.049,0.934,0.533,0.402,0.137,0.176,0.087,0.606,0.269,0.015,0.173,0.029,0.52,0.353,0.099,0.053,0.07,0.492,0.041,0.327,1.091,0.356,0.324,0.318,0.667,0.362,0.014,0.141,0.502,0.904,0.369
70,131,131,0.354,7.8751926,0.001,4.8350372,0.001,0.366,0.494,0.406,0.358,0.014,1.107,0.327,0.014,1.107,0.327,120|76,1.107|1.033,0.514,0.788,0.037,0.316,0.383,0.751,0.046,0.09,0.037,0.055,0.206,0.654,0.608,0.592,0.188,0.076,0.202,0.599,0.575,0.817,0.695,0.191,0.644,0.448,0.406,0.082,0.639,0.417,0.107,0.441,0.469,0.293,0.803,1.0,0.019,0.17,0.179,0.029,0.199,0.571,0.922,0.046,0.119,0.182,0.519,0.152,0.307,0.091,0.408,0.721,0.435,0.164,0.026,0.12,0.06,0.245,0.159,0.604,0.382,0.32,0.12,0.111,0.398,0.681,0.101,0.048,0.029,0.129,0.361,0.072,0.508,0.121,0.283,0.151,0.581,0.182,1.033,0.302,0.12,0.321,0.022,0.649,0.037,0.075,0.221,0.035,0.272,0.031,0.165,0.605,0.579,0.024,0.058,0.462,0.069,0.048,0.646,0.711,0.35,0.384,0.035,0.951,0.541,0.397,0.118,0.178,0.087,0.61,0.293,0.038,0.153,0.031,0.554,0.344,0.101,0.058,0.074,0.512,0.032,0.307,1.107,0.348,0.305,0.305,0.667,0.357,0.014,0.128,0.527,0.901,0.344
80,131,131,0.331,7.8329668,0.001,4.8331261,0.001,0.344,0.494,0.406,0.358,0.015,1.108,0.33,0.015,1.108,0.33,120|76,1.108|1.089,0.49,0.788,0.025,0.343,0.386,0.787,0.049,0.099,0.038,0.057,0.2,0.644,0.597,0.585,0.154,0.08,0.191,0.611,0.578,0.834,0.689,0.181,0.655,0.442,0.402,0.079,0.685,0.397,0.108,0.445,0.49,0.319,0.839,1.021,0.036,0.16,0.189,0.032,0.201,0.586,0.947,0.05,0.094,0.187,0.529,0.14,0.296,0.096,0.424,0.729,0.458,0.164,0.029,0.134,0.063,0.231,0.144,0.595,0.369,0.303,0.1,0.106,0.465,0.696,0.098,0.045,0.031,0.126,0.375,0.069,0.543,0.143,0.283,0.155,0.6,0.192,1.089,0.306,0.103,0.329,0.02,0.653,0.03,0.073,0.237,0.031,0.282,0.029,0.151,0.63,0.59,0.02,0.059,0.473,0.06,0.056,0.625,0.706,0.338,0.378,0.021,0.969,0.565,0.398,0.11,0.175,0.085,0.606,0.309,0.054,0.151,0.032,0.539,0.32,0.106,0.062,0.076,0.54,0.03,0.299,1.108,0.343,0.304,0.286,0.654,0.379,0.015,0.127,0.533,0.897,0.329
90,131,131,0.298,7.773036,0.001,4.8311357,0.001,0.311,0.494,0.406,0.358,0.013,1.12,0.331,0.013,1.12,0.331,76|120,1.12|1.109,0.498,0.793,0.024,0.357,0.4,0.816,0.048,0.105,0.038,0.053,0.216,0.637,0.563,0.58,0.126,0.07,0.186,0.613,0.584,0.866,0.678,0.173,0.642,0.448,0.408,0.088,0.711,0.381,0.108,0.447,0.509,0.326,0.874,1.039,0.048,0.136,0.207,0.032,0.215,0.599,0.99,0.053,0.074,0.188,0.558,0.148,0.301,0.098,0.434,0.722,0.48,0.17,0.031,0.16,0.062,0.244,0.132,0.613,0.38,0.315,0.089,0.106,0.507,0.694,0.096,0.041,0.031,0.118,0.377,0.057,0.557,0.163,0.29,0.148,0.623,0.188,1.12,0.318,0.099,0.322,0.026,0.649,0.027,0.072,0.242,0.026,0.259,0.026,0.141,0.648,0.595,0.016,0.05,0.484,0.056,0.021,0.623,0.704,0.342,0.357,0.019,0.983,0.572,0.391,0.096,0.188,0.083,0.592,0.341,0.016,0.143,0.032,0.549,0.3,0.105,0.046,0.078,0.558,0.026,0.286,1.109,0.361,0.29,0.26,0.658,0.378,0.013,0.11,0.522,0.887,0.307
